species,clade
longifolia,1
seleriana,1
guatemalensis,1
costaricana,1
lutea,1
havanensis,1
splendens,1
discolor,2
insignis,2
indica var. coccinea,2
javanica,2
barbata,2
siphocampyloides,2
antirrhinoides,2
angustifolia,2
angustifolia ssp. micranthum,2
parvula,2
ovata,2
sapphirina,2
racemosa,2
strigillosa,2
scordiifolia,2
galericulata,2
dependens,2
lateriflora,2
resinosa,3
drummondii,3
potosina,3
wrightii,3
hispidula,3
suffrutescens,3
multiglandulosa,3
arenicola,3
glabriuscula,3
elliptica,3
integrifolia,3
serrata,3
incana,3
pinnatifida,4
orientalis,4
multicaulis,4
heydei,4
leptosiphon,4
prostrata,4
alpina,4
przewalskii,4
baicalensis,4
tournefortii,5
altissima,5
oblonga,5
purpurascens,5
angulosa,NA
astinae,NA
blepharophylla,NA
brittonii,NA
californica,NA
coccinea,NA
coerulea,NA
epilobiifolia,NA
formosa,NA
fruticosa,NA
holmgreniorum,NA
hookeri,NA
isocheila,NA
javalambrensis,NA
leonardii,NA
lutilaba,NA
microphylla,NA
muriculata,NA
paucifolia,NA
pekinensis var. alpina,NA
peregrina,NA
pseudoserrata,NA
pulchella,NA
relenorskyi,NA
sumatrana,NA
tessellata,NA
