injection,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.5,1.8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_1,2.6435,0.4812,0.4123,0.5387,0.356,0,0.4117,0.453,0,0,0,0,0,0,0
mix1_5,6.4706,5.3898,5.2422,5.3165,5.1724,4.83,5.3128,5.3344,0,0,0,0,0,0,0
mix1_10,10.933,10.8365,10.7359,10.7033,10.9157,10.8833,10.8311,10.8945,0,0,0,0,0,0,0
mix1_25,22.5026,25.3373,25.0914,25.351,25.9436,26.6163,25.3829,25.3379,0,0,0,0,0,0,0
mix1_50,43.4293,50.6228,50.543,50.631,50.7489,53.9325,51.2552,51.0452,0,0,0,0,0,0,0
mix1_100,103.72,99.5098,99.6291,99.5183,99.3003,97.5703,99.1879,99.2962,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_5,0,0,0,0,0,0,0,0,4.4988,4.4938,4.5431,4.0495,4.5112,4.4973,4.161
mix2_10,0,0,0,0,0,0,0,0,10.0574,10.0359,10.2138,9.8725,10.089,10.1101,9.7163
mix2_25,0,0,0,0,0,0,0,0,28.8569,29.082,28.7053,28.9217,28.7756,28.9423,29.3316
mix2_50,0,0,0,0,0,0,0,0,52.6246,52.4256,51.8495,53.1001,52.4728,52.6424,52.0074
mix2_100,0,0,0,0,0,0,0,0,97.7621,97.808,98.1681,97.5489,97.8539,97.7272,98.0077
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15mix,7.4122,6.1769,6.7536,6.7315,6.6458,6.649,6.4021,6.6911,6.898,6.4791,6.5013,6.1872,6.614,6.3966,6.1618
IC-0-L,3.476,0,0,0,0.7658,0,0,0,0,3.4504,5.5161,0,0,0,0
IC-0-S,0,0,0,0,0,0,0,0,0,3.1011,3.7885,0,0,0,0
IC-1-L,3.3155,0,0,0,1.6382,0,0,0,0,8.2343,13.999,1.4332,0,0,0
IC-1-S,0,0,0,0,0.1797,0,0,0,0,2.9762,3.6281,0,0,0,0
IC-1-R,2.1569,2.9188,0,11.5603,0,0,5.6839,0,0,0,0,0,0,0,0
IC-2-L,3.5194,0,0,0,4.009,0,0,0,0,6.7645,13.4339,4.1075,0,0,0
IC-2-S,0,0,0,0,0.3297,0,0,0,0,3.2838,4.7379,0,0,0,0
IC-2-R,1.7645,2.1649,0,8.7743,0,0,3.8897,0,0,0,0,0,0,0,0
IC-3-L,0,0,0,0,0,0,0,0,0,0,0.0513,0,0,0,0
IC-3-S,0,0,0,0,0.6171,0,0,0,0,1.5817,2.4379,0,0,0,0
IC-3-R,3.5633,2.4593,0,11.5037,0,0,4.4915,0,0,0,0,0,0,0,0
15mix,6.84,5.5015,6.4595,6.4922,6.4063,6.3488,6.176,6.5771,6.4967,6.112,6.1945,6.1288,6.2336,6.0783,6.2332
BT-1-L,0,0,0,0,0,0,0,0,0,0,4.0465,0,0,0,0
BT-1-S,0,0,0,0,0,0,0,0,0,0,3.9678,0,0,0,0
BT-1-R,6.8721,8.9489,0,5.9185,0,0,0.6639,0,0,0,0,0,0,0,0
BT-2-L,0,0,0,0,0.1376,0,0,0,0,0.1193,3.4,0.8621,0,0,0
BT-2-S,0,0,0,0,0,0,0,0,0,0,3.0087,0,0,0,0
BT-2-R,4.3508,5.9365,0,3.6073,0,0,0.2717,0,0,0,0,0,0,0,0
BT-3-L,0,0,0,0,0.9076,0,0,0,0,0,4.0512,1.6912,0,0,0
BT-3-S,0,0,0,0,0,0,0,0,0,0,2.962,0,0,0,0
BT-3-R,6.9275,8.0064,0,5.0259,0,0,0.5248,0,0,0,0,0,0,0,0
15mix,6.7314,0,5.9956,6.1732,6.0501,5.992,6.0197,6.2781,5.8945,5.6965,5.8765,9.4445,6.0418,5.687,6.0216
DE-1-L,0,0,0,35.3383,0,0,4.5186,0,0,31.9228,0,0,0,0,0
DE-1-S,0,0.5248,0,17.3705,0,0,0.9961,0,0,4.8502,0,0,0,0,0
DE-1-R,6.2809,20.3771,14.5588,13.0901,0,0,4.3649,0.8342,0,0,0,0,0.3263,0,0
DE-1-F,0,0,0,10.661,2.6965,0,3.2208,0,0,10.7996,0,0,0,0,0
DE-2-L,0,0,0,26.9187,8.9936,0,5.9856,0,0,31.3653,0,0,0,0,0
DE-2-S,0,0.5242,0,10.2912,0,0,0.5743,0,0,3.4216,0,0,0,0,0
DE-2-R,7.2802,16.0054,15.1464,9.5017,0,0,3.9884,1.1776,0,0,0,0,0.5212,0,0
DE-2-F,0,0,0,13.6282,3.5584,0,3.5461,0,0,12.689,0,0,0,0,0
DE-3-L,0,0,0,19.0059,8.85,0,14.2865,0,0,11.4906,0,0,0,0,0
DE-3-S,0,1.592,0,18.6816,0,0,0.6077,0,0,2.1247,0,0,0,0,0
DE-3-R,4.4238,12.1238,6.3831,7.2533,0,0,2.642,0,0,0,0,0,0,0,0
15mix,6.8565,0,6.2334,6.3221,6.1309,6.064,6.0616,6.4043,6.0636,5.8589,6.0459,9.6713,6.1106,5.8015,6.0695
IN-1-L,0,0,0,0,0,0,0,0,0,0,0.6281,0,0,0,0
IN-1-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-1-R,0,0,0,3.1697,0,0,0.0137,0,0,0,0,0,0,0,0
IN-2-L,0,0,0,0,0,0,0,0,0,0,0.4247,0,0,0,0
IN-2-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-2-R,0,0,0,0.9128,0,0,0,0,0,0,0,0,0,0,0
IN-3-L,0,0,0,0,0,0,0,0,0,0,0.2865,0,0,0,0
IN-3-S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN-3-R,0,0,0,2.9865,0,0,0.158,0,0,0,0,0,0,0,0
15mix,6.834,0,6.1923,6.2456,6.1136,6.0535,6.1206,6.3249,5.9318,5.8083,6.0422,9.7259,6.0774,5.773,6.0583
PA-1-L,0,0,0,0,0,0,0,0,0,0,0,0,28.1326,0,9.1791
PA-1-S,2.3737,0.6073,0,0,0,0,0,0,0,0,0,0,19.7792,0,3.8762
PA-1-R,4.7285,11.0099,0,0,0,0,0,0.5771,0,0,0,0,12.139,0,0
PA-1-F,0,0,0,0,4.7327,0,0,0,0,1.7135,0,0,23.0895,0,7.5827
PA-2-L,0,0,0,0,0,0,0,0,0,0,0,0,33.2972,0,14.6624
PA-2-S,0,0,0,0,0,0,0,0,0,0,0,0,14.2018,0,2.5351
PA-2-R,4.0352,7.3556,0.45,0,0,0,0,0.0178,0,0,0,0,8.2097,0,0
PA-3-L,0,0,0,0,0,0,0,0,0,0,0,0,45.8795,0,8.703
PA-3-S,2.2334,0.2401,0,0,0,0,0,0,0,0,0,0,15.3067,0,1.7363
PA-3-R,4.8249,8.4702,0.0927,0,0,0,0,0,0,0,0,0,8.3286,0,0
15mix,6.5115,0,6.038,6.1672,6.0915,6.0255,6.1705,6.3768,5.9877,5.8488,5.974,9.5815,6.1144,5.7738,5.9614
ST-1-L,3.1241,104.7861,0,0.054,0,1.9459,0,0,0,0,0,0,2.1236,0,0
ST-1-S,0,6.6575,0,0.5985,0,0,0,0,0,0,0,0,0,0,0
ST-1-R,2.8145,10.7298,0,5.271,0,0,0.6939,0,0,0,0,0,0,0,0
ST-1-F,0,16.2601,0,0.875,0,0,0,0,0,17.9006,0,0,0,0,0
ST-2-L,0,57.2576,0,0,0,1.5454,0,0,0,0,0,0,0.8279,0,0
ST-2-S,0,11.5129,0,1.4902,0,0,0.4892,0,0,0,0,0,0,0,0
ST-2-R,0,10.1384,6.1295,7.0877,0,0,2.2574,0,0,0,0,0,0.7683,0,0
ST-3-L,0,85.9607,0,0.1987,0,6.5832,0,0,0,0,0,0,2.0575,0,0
ST-3-S,0,9.7987,0,0.9488,0,0,0.2437,0,0,0,0,0,0,0,0
ST-3-R,0,3.0746,2.8557,2.4655,0,0,0.3744,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
