"species","organ","metabolite","concentration_ppm","stError_ppm"
"altissima","leaves","acteoside",0,0
"altissima","leaves","apigenin",0,0
"altissima","leaves","apigeninG",0.626371846062197,0.338478773079476
"altissima","leaves","baicalein",0.942706346312105,0.249934324561663
"altissima","leaves","baicalin",0,0
"altissima","leaves","chrysin",0.958204345813951,0.0905103595565282
"altissima","leaves","chrysinG",5.64699634401655,0.394392214022046
"altissima","leaves","hispidulin",0,0
"altissima","leaves","hispidulinG",0,0
"altissima","leaves","isoscutellarin",0,0
"altissima","leaves","oroxylinA",0,0
"altissima","leaves","oroxyloside",0,0
"altissima","leaves","scutellarein",0.924387916900095,0.397265902792645
"altissima","leaves","scutellarin",9.63752604140642,2.82973795833891
"altissima","leaves","wogonin",0,0
"altissima","leaves","wogonoside",0,0
"altissima","roots","acteoside",0,0
"altissima","roots","apigenin",0,0
"altissima","roots","apigeninG",0,0
"altissima","roots","baicalein",0.0929453721246017,0.00458320757802695
"altissima","roots","baicalin",11.3166450333497,1.48392250331026
"altissima","roots","chrysin",0,0
"altissima","roots","chrysinG",0,0
"altissima","roots","hispidulin",0,0
"altissima","roots","hispidulinG",0,0
"altissima","roots","isoscutellarin",0,0
"altissima","roots","oroxylinA",0.20547825326521,0.0324636820987228
"altissima","roots","oroxyloside",1.47078990358055,0.153662647157599
"altissima","roots","scutellarein",0,0
"altissima","roots","scutellarin",0,0
"altissima","roots","wogonin",4.11676039402526,0.29499449192467
"altissima","roots","wogonoside",5.2961260339459,0.60405577730297
"altissima","stems","acteoside",0,0
"altissima","stems","apigenin",0,0
"altissima","stems","apigeninG",0,0
"altissima","stems","baicalein",0.203103669627194,0.0650519057735916
"altissima","stems","baicalin",1.0477369596967,0.842375798558978
"altissima","stems","chrysin",0.051705535771014,0.028924220509379
"altissima","stems","chrysinG",0.754048044421951,0.102901783532002
"altissima","stems","hispidulin",0,0
"altissima","stems","hispidulinG",0,0
"altissima","stems","isoscutellarin",0.410829044436052,0.0131613311275764
"altissima","stems","oroxylinA",0,0
"altissima","stems","oroxyloside",0.13394645010147,0.13394645010147
"altissima","stems","scutellarein",0,0
"altissima","stems","scutellarin",2.5737562963612,0.301289802339252
"altissima","stems","wogonin",0.479027925435663,0.368082608415765
"altissima","stems","wogonoside",2.89877799455459,1.16278941116873
"arenicola","leaves","acteoside",8.62608035553481,4.32118203300817
"arenicola","leaves","apigenin",0.588495862660609,0.102816159162801
"arenicola","leaves","apigeninG",0.24363385994573,0.12279992319395
"arenicola","leaves","baicalein",0.264477262170314,0.0777564077614953
"arenicola","leaves","baicalin",0,0
"arenicola","leaves","chrysin",0.240218743132107,0.0228732890167782
"arenicola","leaves","chrysinG",0,0
"arenicola","leaves","hispidulin",20.196329375826,5.12500416216002
"arenicola","leaves","hispidulinG",1.97320421816403,0.993924443831174
"arenicola","leaves","isoscutellarin",0,0
"arenicola","leaves","oroxylinA",0,0
"arenicola","leaves","oroxyloside",0,0
"arenicola","leaves","scutellarein",0.354566118411924,0.144690036932803
