"species","organ","metabolite","concentration_ppm","stError_ppm"
"barbata","leaves","acteoside",0,0
"barbata","leaves","apigenin",1.0310385748565,0.312913499329711
"barbata","leaves","apigeninG",1.09333436109072,0.220948703074616
"barbata","leaves","baicalein",0,0
"barbata","leaves","baicalin",0,0
"barbata","leaves","chrysin",0,0
"barbata","leaves","chrysinG",0,0
"barbata","leaves","hispidulin",0.025120356379223,0.0127703511299006
"barbata","leaves","hispidulinG",0,0
"barbata","leaves","isoscutellarin",5.00114691495802,0.212069378303077
"barbata","leaves","oroxylinA",0,0
"barbata","leaves","oroxyloside",0,0
"barbata","leaves","scutellarein",2.28765492065275,0.673024214780727
"barbata","leaves","scutellarin",18.4778482371691,0.804756970789853
"barbata","leaves","wogonin",0,0
"barbata","leaves","wogonoside",0,0
"barbata","roots","acteoside",4.90553553609301,0.859791118763288
"barbata","roots","apigenin",0,0
"barbata","roots","apigeninG",0,0
"barbata","roots","baicalein",0.971087507774256,0.12293902505993
"barbata","roots","baicalin",8.1635578080053,0.881574322814258
"barbata","roots","chrysin",0,0
"barbata","roots","chrysinG",0.393397406315782,0.196745185515934
"barbata","roots","hispidulin",0,0
"barbata","roots","hispidulinG",0,0
"barbata","roots","isoscutellarin",0,0
"barbata","roots","oroxylinA",0.346242833187499,0.123269933816292
"barbata","roots","oroxyloside",0,0
"barbata","roots","scutellarein",0,0
"barbata","roots","scutellarin",0.978482201552999,0.49729147548084
"barbata","roots","wogonin",1.1889809193033,0.113569447079167
"barbata","roots","wogonoside",5.36494510022597,0.667375649235868
"barbata","stems","acteoside",0,0
"barbata","stems","apigenin",0,0
"barbata","stems","apigeninG",0.659575314326258,0.0541354478144104
"barbata","stems","baicalein",0,0
"barbata","stems","baicalin",0,0
"barbata","stems","chrysin",0,0
"barbata","stems","chrysinG",0,0
"barbata","stems","hispidulin",0.0110377323484465,0.0110377323484465
"barbata","stems","hispidulinG",0,0
"barbata","stems","isoscutellarin",4.4924476578876,0.321132208609556
"barbata","stems","oroxylinA",0,0
"barbata","stems","oroxyloside",0,0
"barbata","stems","scutellarein",0.733406408067068,0.21562300580645
"barbata","stems","scutellarin",3.61086699363373,0.385711343210696
"barbata","stems","wogonin",0,0
"barbata","stems","wogonoside",0.06613218741588,0.06613218741588
"dependens","flowers","acteoside",0,0
"dependens","flowers","apigenin",3.82966390648261,0.348048006363884
"dependens","flowers","apigeninG",12.8473326509266,0.753352282381563
"dependens","flowers","baicalein",0,0
"dependens","flowers","baicalin",0,0
"dependens","flowers","chrysin",0,0
"dependens","flowers","chrysinG",0.0419733634353659,0.0342711077350131
"dependens","flowers","hispidulin",0,0
"dependens","flowers","hispidulinG",0,0
"dependens","flowers","isoscutellarin",0,0
"dependens","flowers","oroxylinA",0,0
"dependens","flowers","oroxyloside",0,0
"dependens","flowers","scutellarein",0,0
"dependens","flowers","scutellarin",0,0
"dependens","flowers","wogonin",4.05432140667989,0.131477246190066
"dependens","flowers","wogonoside",12.5985249493726,1.20119313458227
"dependens","leaves","acteoside",0,0
"dependens","leaves","apigenin",6.37278499127709,3.18665649236863
"dependens","leaves","apigeninG",25.7269247686478,6.56559938665676
"dependens","leaves","baicalein",0,0
