"","species","organ","metabolite","concentration_ppm","stError_ppm"
"1","altissima","leaves","apigenin",0.221962559465528,NA
"2","altissima","leaves","apigeninG",0,NA
"3","altissima","leaves","scutellarein",0,NA
"4","altissima","leaves","scutellarin",0,NA
"5","altissima","leaves","hispidulin",0,NA
"6","altissima","leaves","hispidulinG",0,NA
"7","altissima","leaves","chrysin",0,NA
"8","altissima","leaves","chrysinG",1.29059239538728,NA
"9","altissima","leaves","wogonin",0,NA
"10","altissima","leaves","wogonoside",0,NA
"11","altissima","leaves","baicalein",0,NA
"12","altissima","leaves","baicalin",0,NA
"13","altissima","leaves","oroxylinA",0.198946544690827,NA
"14","altissima","leaves","oroxyloside",0,NA
"15","altissima","leaves","acetoside",0,NA
"16","galericulata","leaves","apigenin",0,NA
"17","galericulata","leaves","apigeninG",0,NA
"18","galericulata","leaves","scutellarein",0,NA
"19","galericulata","leaves","scutellarin",0,NA
"20","galericulata","leaves","hispidulin",0,NA
"21","galericulata","leaves","hispidulinG",0,NA
"22","galericulata","leaves","chrysin",0,NA
"23","galericulata","leaves","chrysinG",4.13067530160967,NA
"24","galericulata","leaves","wogonin",0,NA
"25","galericulata","leaves","wogonoside",0,NA
"26","galericulata","leaves","baicalein",0,NA
"27","galericulata","leaves","baicalin",17.3886768862911,NA
"28","galericulata","leaves","oroxylinA",0,NA
"29","galericulata","leaves","oroxyloside",0,NA
"30","galericulata","leaves","acetoside",0,NA
"31","galericulata","shoots","apigenin",0,NA
"32","galericulata","shoots","apigeninG",0,NA
"33","galericulata","shoots","scutellarein",0,NA
"34","galericulata","shoots","scutellarin",0,NA
"35","galericulata","shoots","hispidulin",0,NA
"36","galericulata","shoots","hispidulinG",0,NA
"37","galericulata","shoots","chrysin",0,NA
"38","galericulata","shoots","chrysinG",0,NA
"39","galericulata","shoots","wogonin",0.847034470862589,NA
"40","galericulata","shoots","wogonoside",6.55737851086604,NA
"41","galericulata","shoots","baicalein",0,NA
"42","galericulata","shoots","baicalin",11.634782603893,NA
"43","galericulata","shoots","oroxylinA",0,NA
"44","galericulata","shoots","oroxyloside",1.3598250694433,NA
"45","galericulata","shoots","acetoside",0,NA
"46","lateriflora","leaves","apigenin",0.538575212625696,NA
"47","lateriflora","leaves","apigeninG",5.19376525346743,NA
"48","lateriflora","leaves","scutellarein",0,NA
"49","lateriflora","leaves","scutellarin",0,NA
"50","lateriflora","leaves","hispidulin",0,NA
"51","lateriflora","leaves","hispidulinG",0,NA
"52","lateriflora","leaves","chrysin",0,NA
"53","lateriflora","leaves","chrysinG",0,NA
"54","lateriflora","leaves","wogonin",0.45757631380514,NA
"55","lateriflora","leaves","wogonoside",1.74187001013181,NA
"56","lateriflora","leaves","baicalein",0,NA
"57","lateriflora","leaves","baicalin",0,NA
"58","lateriflora","leaves","oroxylinA",0,NA
"59","lateriflora","leaves","oroxyloside",0,NA
"60","lateriflora","leaves","acetoside",8.88502075908489,NA
"61","lateriflora","leaves","apigenin",0,NA
"62","lateriflora","leaves","apigeninG",0,NA
"63","lateriflora","leaves","scutellarein",0,NA
"64","lateriflora","leaves","scutellarin",0,NA
"65","lateriflora","leaves","hispidulin",0,NA
"66","lateriflora","leaves","hispidulinG",0,NA
"67","lateriflora","leaves","chrysin",0,NA
"68","lateriflora","leaves","chrysinG",0,NA
"69","lateriflora","leaves","wogonin",0.0421213722884271,NA
"70","lateriflora","leaves","wogonoside",1.08381884088432,NA
"71","lateriflora","leaves","baicalein",0.518889769997642,NA
"72","lateriflora","leaves","baicalin",76.7714615602666,NA
"73","lateriflora","leaves","oroxylinA",0.217382952235474,NA
"74","lateriflora","leaves","oroxyloside",7.82402732866673,NA
"75","lateriflora","leaves","acetoside",0,NA
"76","sapphirina","leaves","apigenin",0,NA
"77","sapphirina","leaves","apigeninG",0,NA
"78","sapphirina","leaves","scutellarein",0,NA
"79","sapphirina","leaves","scutellarin",0,NA
"80","sapphirina","leaves","hispidulin",0,NA
"81","sapphirina","leaves","hispidulinG",0,NA
"82","sapphirina","leaves","chrysin",0.886056010942881,NA
"83","sapphirina","leaves","chrysinG",52.8247035788853,NA
"84","sapphirina","leaves","wogonin",0.465857989867057,NA
"85","sapphirina","leaves","wogonoside",36.6188015990616,NA
"86","sapphirina","leaves","baicalein",0.752590431594075,NA
"87","sapphirina","leaves","baicalin",70.8824100743384,NA
"88","sapphirina","leaves","oroxylinA",0,NA
"89","sapphirina","leaves","oroxyloside",2.86937889199817,NA
"90","sapphirina","leaves","acetoside",18.0232744348605,NA
"91","sapphirina","shoots","apigenin",0,NA
"92","sapphirina","shoots","apigeninG",0,NA
"93","sapphirina","shoots","scutellarein",0,NA
"94","sapphirina","shoots","scutellarin",0,NA
"95","sapphirina","shoots","hispidulin",0,NA
"96","sapphirina","shoots","hispidulinG",0,NA
"97","sapphirina","shoots","chrysin",0,NA
