"species","organ","metabolite","concentration_ppm","stError_ppm"
"angustifolia ssp. micranthum","leaves","acteoside",0,NA
"angustifolia ssp. micranthum","leaves","baicalin",11.1291337521238,NA
"angustifolia ssp. micranthum","leaves","oroxyloside",0,NA
"angustifolia ssp. micranthum","leaves","wogonoside",0,NA
"angustifolia ssp. micranthum","leaves","apigenin",0,NA
"angustifolia ssp. micranthum","leaves","baicalein",0.0823216081770165,NA
"angustifolia ssp. micranthum","leaves","wogonin",0,NA
"angustifolia ssp. micranthum","leaves","oroxylinA",0,NA
"angustifolia ssp. micranthum","leaves","hispidulinG",0,NA
"angustifolia ssp. micranthum","leaves","apigeninG",1.9355946016669,NA
"angustifolia ssp. micranthum","leaves","isoscutellarin",0,NA
"angustifolia ssp. micranthum","leaves","scutellarein",0,NA
"angustifolia ssp. micranthum","leaves","chrysinG",46.6030243955342,NA
"angustifolia ssp. micranthum","leaves","hispidulin",0.029905036063085,NA
"angustifolia ssp. micranthum","leaves","chrysin",1.47928804558808,NA
"angustifolia ssp. micranthum","leaves","scutellarin",27.950009525969,NA
"angustifolia ssp. angustifolia","leaves","acteoside",0,NA
"angustifolia ssp. angustifolia","leaves","baicalin",12.4841652963348,NA
"angustifolia ssp. angustifolia","leaves","oroxyloside",0.749326638469478,NA
"angustifolia ssp. angustifolia","leaves","wogonoside",4.37174644761861,NA
"angustifolia ssp. angustifolia","leaves","apigenin",0,NA
"angustifolia ssp. angustifolia","leaves","baicalein",0.136133216876842,NA
"angustifolia ssp. angustifolia","leaves","wogonin",0,NA
"angustifolia ssp. angustifolia","leaves","oroxylinA",0,NA
"angustifolia ssp. angustifolia","leaves","hispidulinG",0,NA
"angustifolia ssp. angustifolia","leaves","apigeninG",0,NA
"angustifolia ssp. angustifolia","leaves","isoscutellarin",0,NA
"angustifolia ssp. angustifolia","leaves","scutellarein",0,NA
"angustifolia ssp. angustifolia","leaves","chrysinG",0.335313281290684,NA
"angustifolia ssp. angustifolia","leaves","hispidulin",0,NA
"angustifolia ssp. angustifolia","leaves","chrysin",0,NA
"angustifolia ssp. angustifolia","leaves","scutellarin",2.46851132832876,NA
"antirrhinoides","leaves","acteoside",0,NA
"antirrhinoides","leaves","baicalin",5.22617099677414,NA
"antirrhinoides","leaves","oroxyloside",0,NA
"antirrhinoides","leaves","wogonoside",0,NA
"antirrhinoides","leaves","apigenin",0,NA
"antirrhinoides","leaves","baicalein",0,NA
"antirrhinoides","leaves","wogonin",0,NA
"antirrhinoides","leaves","oroxylinA",0,NA
"antirrhinoides","leaves","hispidulinG",0,NA
"antirrhinoides","leaves","apigeninG",0.732091516923722,NA
"antirrhinoides","leaves","isoscutellarin",0,NA
"antirrhinoides","leaves","scutellarein",0,NA
"antirrhinoides","leaves","chrysinG",4.98750506713944,NA
"antirrhinoides","leaves","hispidulin",0,NA
"antirrhinoides","leaves","chrysin",0.115818151583332,NA
"antirrhinoides","leaves","scutellarin",2.08286369546703,NA
"brittonii","leaves","acteoside",1.29709298440183,NA
"brittonii","leaves","baicalin",0.463529551041524,NA
"brittonii","leaves","oroxyloside",0,NA
"brittonii","leaves","wogonoside",6.75880755791184,NA
"brittonii","leaves","apigenin",0,NA
"brittonii","leaves","baicalein",0,NA
"brittonii","leaves","wogonin",0.379689563517774,NA
"brittonii","leaves","oroxylinA",0,NA
"brittonii","leaves","hispidulinG",0,NA
"brittonii","leaves","apigeninG",0,NA
"brittonii","leaves","isoscutellarin",0,NA
"brittonii","leaves","scutellarein",0,NA
"brittonii","leaves","chrysinG",2.0116713215603,NA
"brittonii","leaves","hispidulin",0,NA
"brittonii","leaves","chrysin",0,NA
"brittonii","leaves","scutellarin",41.7615791901585,NA
"californica","leaves","acteoside",0,NA
"californica","leaves","baicalin",28.4135891977468,NA
"californica","leaves","oroxyloside",3.99624259805812,NA
"californica","leaves","wogonoside",1.11228160098965,NA
"californica","leaves","apigenin",0,NA
"californica","leaves","baicalein",0.12679233385725,NA
"californica","leaves","wogonin",0,NA
"californica","leaves","oroxylinA",0,NA
"californica","leaves","hispidulinG",0,NA
"californica","leaves","apigeninG",0.335215248328289,NA
"californica","leaves","isoscutellarin",0,NA
"californica","leaves","scutellarein",0,NA
"californica","leaves","chrysinG",0,NA
"californica","leaves","hispidulin",0,NA
"californica","leaves","chrysin",0,NA
"californica","leaves","scutellarin",1.75542968554824,NA
"coccinea","leaves","acteoside",0,NA
"coccinea","leaves","baicalin",0,NA
"coccinea","leaves","oroxyloside",0,NA
"coccinea","leaves","wogonoside",0.0515682137608497,NA
"coccinea","leaves","apigenin",0,NA
"coccinea","leaves","baicalein",0,NA
"coccinea","leaves","wogonin",9.86027248337814,NA
"coccinea","leaves","oroxylinA",0,NA
"coccinea","leaves","hispidulinG",0,NA
"coccinea","leaves","apigeninG",0,NA
"coccinea","leaves","isoscutellarin",0,NA
"coccinea","leaves","scutellarein",0,NA
"coccinea","leaves","chrysinG",0,NA
"coccinea","leaves","hispidulin",0.0458012614037711,NA
"coccinea","leaves","chrysin",0,NA
"coccinea","leaves","scutellarin",0,NA
"drumondii","shoots","acteoside",0,NA
"drumondii","shoots","baicalin",0,NA
"drumondii","shoots","oroxyloside",0,NA
"drumondii","shoots","wogonoside",0,NA
"drumondii","shoots","apigenin",0,NA
"drumondii","shoots","baicalein",0,NA
"drumondii","shoots","wogonin",0,NA
"drumondii","shoots","oroxylinA",0,NA
"drumondii","shoots","hispidulinG",0,NA
"drumondii","shoots","apigeninG",0,NA
"drumondii","shoots","isoscutellarin",1.09222042560826,NA
"drumondii","shoots","scutellarein",0.0651450915004381,NA
"drumondii","shoots","chrysinG",1.20722157742918,NA
"drumondii","shoots","hispidulin",0.0669822476756616,NA
"drumondii","shoots","chrysin",0.15944956391947,NA
"drumondii","shoots","scutellarin",14.0765614586997,NA
"glabriuscula","leaves","acteoside",0,NA
"glabriuscula","leaves","baicalin",0,NA
"glabriuscula","leaves","oroxyloside",0,NA
"glabriuscula","leaves","wogonoside",0.730577330644064,NA
"glabriuscula","leaves","apigenin",0,NA
"glabriuscula","leaves","baicalein",0,NA
"glabriuscula","leaves","wogonin",0,NA
"glabriuscula","leaves","oroxylinA",0,NA
"glabriuscula","leaves","hispidulinG",0,NA
"glabriuscula","leaves","apigeninG",3.19485396219324,NA
"glabriuscula","leaves","isoscutellarin",0,NA
"glabriuscula","leaves","scutellarein",0,NA
"glabriuscula","leaves","chrysinG",12.4261778290331,NA
"glabriuscula","leaves","hispidulin",0.112573796344067,NA
"glabriuscula","leaves","chrysin",0.198666172423964,NA
"glabriuscula","leaves","scutellarin",20.4620179879037,NA
"havanensis","shoots","acteoside",0,NA
"havanensis","shoots","baicalin",1.30974047561733,NA
"havanensis","shoots","oroxyloside",0,NA
"havanensis","shoots","wogonoside",0.588585110760223,NA
"havanensis","shoots","apigenin",0,NA
"havanensis","shoots","baicalein",0,NA
"havanensis","shoots","wogonin",0.298169927422587,NA
"havanensis","shoots","oroxylinA",0,NA
"havanensis","shoots","hispidulinG",0,NA
"havanensis","shoots","apigeninG",0,NA
"havanensis","shoots","isoscutellarin",0.472726800243844,NA
"havanensis","shoots","scutellarein",0,NA
"havanensis","shoots","chrysinG",0.122988139991814,NA
"havanensis","shoots","hispidulin",0,NA
"havanensis","shoots","chrysin",0.0548562859080827,NA
"havanensis","shoots","scutellarin",1.32284467631847,NA
"holmgrenierum","leaves","acteoside",0,NA
"holmgrenierum","leaves","baicalin",26.654558103843,NA
"holmgrenierum","leaves","oroxyloside",0,NA
"holmgrenierum","leaves","wogonoside",5.24249204203279,NA
"holmgrenierum","leaves","apigenin",0,NA
"holmgrenierum","leaves","baicalein",0.436138011945229,NA
"holmgrenierum","leaves","wogonin",0.130975617397861,NA
"holmgrenierum","leaves","oroxylinA",0,NA
"holmgrenierum","leaves","hispidulinG",0,NA
"holmgrenierum","leaves","apigeninG",0.502096879318173,NA
"holmgrenierum","leaves","isoscutellarin",0,NA
"holmgrenierum","leaves","scutellarein",0,NA
"holmgrenierum","leaves","chrysinG",5.73017423777192,NA
"holmgrenierum","leaves","hispidulin",0,NA
"holmgrenierum","leaves","chrysin",0.41142214431062,NA
"holmgrenierum","leaves","scutellarin",0.659378518467535,NA
"incana","leaves","acteoside",3.79182229269403,NA
"incana","leaves","baicalin",0,NA
"incana","leaves","oroxyloside",0,NA
"incana","leaves","wogonoside",1.19347528374923,NA
"incana","leaves","apigenin",0,NA
"incana","leaves","baicalein",0,NA
"incana","leaves","wogonin",0,NA
"incana","leaves","oroxylinA",0,NA
"incana","leaves","hispidulinG",0,NA
"incana","leaves","apigeninG",1.8113045702336,NA
"incana","leaves","isoscutellarin",0,NA
"incana","leaves","scutellarein",0,NA
"incana","leaves","chrysinG",0.615722073148344,NA
"incana","leaves","hispidulin",0,NA
"incana","leaves","chrysin",0.0287901569021016,NA
"incana","leaves","scutellarin",31.3848951857671,NA
"leonardii","shoots","acteoside",0,NA
"leonardii","shoots","baicalin",0.167327571358273,NA
"leonardii","shoots","oroxyloside",0,NA
"leonardii","shoots","wogonoside",1.08337466015693,NA
"leonardii","shoots","apigenin",0,NA
"leonardii","shoots","baicalein",0,NA
"leonardii","shoots","wogonin",0.224372043054954,NA
"leonardii","shoots","oroxylinA",0,NA
"leonardii","shoots","hispidulinG",0,NA
"leonardii","shoots","apigeninG",0.141133073076132,NA
"leonardii","shoots","isoscutellarin",0,NA
"leonardii","shoots","scutellarein",0.0549782170133135,NA
"leonardii","shoots","chrysinG",1.33083481597241,NA
"leonardii","shoots","hispidulin",0,NA
"leonardii","shoots","chrysin",0,NA
"leonardii","shoots","scutellarin",9.18224758594466,NA
"multiglandulosa","leaves","acteoside",0,NA
"multiglandulosa","leaves","baicalin",0,NA
"multiglandulosa","leaves","oroxyloside",0,NA
"multiglandulosa","leaves","wogonoside",0,NA
"multiglandulosa","leaves","apigenin",0,NA
"multiglandulosa","leaves","baicalein",0,NA
"multiglandulosa","leaves","wogonin",0,NA
"multiglandulosa","leaves","oroxylinA",0,NA
"multiglandulosa","leaves","hispidulinG",0,NA
"multiglandulosa","leaves","apigeninG",0.822405067801658,NA
"multiglandulosa","leaves","isoscutellarin",0,NA
"multiglandulosa","leaves","scutellarein",0.814602749191129,NA
"multiglandulosa","leaves","chrysinG",0.295359065545779,NA
"multiglandulosa","leaves","hispidulin",1.00888602729516,NA
"multiglandulosa","leaves","chrysin",0,NA
"multiglandulosa","leaves","scutellarin",57.622747622419,NA
"muriculata","shoots","acteoside",0,NA
"muriculata","shoots","baicalin",1.04764757778788,NA
"muriculata","shoots","oroxyloside",2.00754146230369,NA
"muriculata","shoots","wogonoside",3.42185221214813,NA
"muriculata","shoots","apigenin",0,NA
"muriculata","shoots","baicalein",0,NA
"muriculata","shoots","wogonin",2.82123391927801,NA
"muriculata","shoots","oroxylinA",0.132553143657505,NA
"muriculata","shoots","hispidulinG",0,NA
"muriculata","shoots","apigeninG",0,NA
"muriculata","shoots","isoscutellarin",0,NA
"muriculata","shoots","scutellarein",0.138481503677706,NA
"muriculata","shoots","chrysinG",0,NA
"muriculata","shoots","hispidulin",0.263231425430465,NA
"muriculata","shoots","chrysin",0,NA
"muriculata","shoots","scutellarin",8.00049694489468,NA
"sapphirina","leaves","acteoside",0,NA
"sapphirina","leaves","baicalin",36.7781175088618,NA
"sapphirina","leaves","oroxyloside",0,NA
"sapphirina","leaves","wogonoside",5.60695163639404,NA
"sapphirina","leaves","apigenin",0,NA
"sapphirina","leaves","baicalein",0.192016064854925,NA
"sapphirina","leaves","wogonin",0,NA
"sapphirina","leaves","oroxylinA",0,NA
"sapphirina","leaves","hispidulinG",0,NA
"sapphirina","leaves","apigeninG",0.933820820278083,NA
"sapphirina","leaves","isoscutellarin",0,NA
"sapphirina","leaves","scutellarein",0,NA
"sapphirina","leaves","chrysinG",12.1894217526829,NA
"sapphirina","leaves","hispidulin",0,NA
"sapphirina","leaves","chrysin",0.111074585764226,NA
"sapphirina","leaves","scutellarin",4.80156674467648,NA
"pseudoserrata","leaves","acteoside",0,NA
"pseudoserrata","leaves","baicalin",0,NA
"pseudoserrata","leaves","oroxyloside",0,NA
"pseudoserrata","leaves","wogonoside",0,NA
"pseudoserrata","leaves","apigenin",0.166236879589988,NA
"pseudoserrata","leaves","baicalein",0,NA
"pseudoserrata","leaves","wogonin",0,NA
"pseudoserrata","leaves","oroxylinA",0,NA
"pseudoserrata","leaves","hispidulinG",0,NA
"pseudoserrata","leaves","apigeninG",0.56172511869739,NA
"pseudoserrata","leaves","isoscutellarin",0.442091464236018,NA
"pseudoserrata","leaves","scutellarein",0,NA
"pseudoserrata","leaves","chrysinG",0.255144392071116,NA
"pseudoserrata","leaves","hispidulin",0,NA
"pseudoserrata","leaves","chrysin",0.0987225282352652,NA
"pseudoserrata","leaves","scutellarin",0,NA
"racemosa","leaves","acteoside",0,NA
"racemosa","leaves","baicalin",18.2204440479083,NA
"racemosa","leaves","oroxyloside",80.1878190587123,NA
"racemosa","leaves","wogonoside",0,NA
"racemosa","leaves","apigenin",0,NA
"racemosa","leaves","baicalein",0.10360257644774,NA
"racemosa","leaves","wogonin",0,NA
"racemosa","leaves","oroxylinA",0.73177534462468,NA
"racemosa","leaves","hispidulinG",0,NA
"racemosa","leaves","apigeninG",0.268423876296375,NA
"racemosa","leaves","isoscutellarin",0,NA
"racemosa","leaves","scutellarein",0,NA
"racemosa","leaves","chrysinG",0,NA
"racemosa","leaves","hispidulin",0.0680727538995609,NA
"racemosa","leaves","chrysin",0,NA
"racemosa","leaves","scutellarin",10.8015165941009,NA
"sapphirina","shoots","acteoside",0.348543640120795,NA
"sapphirina","shoots","baicalin",3.48628603843917,NA
"sapphirina","shoots","oroxyloside",8.58839774697038,NA
"sapphirina","shoots","wogonoside",3.21137873090342,NA
"sapphirina","shoots","apigenin",0,NA
"sapphirina","shoots","baicalein",0,NA
"sapphirina","shoots","wogonin",0.286918232048149,NA
"sapphirina","shoots","oroxylinA",0.427687069321407,NA
"sapphirina","shoots","hispidulinG",0,NA
"sapphirina","shoots","apigeninG",0,NA
"sapphirina","shoots","isoscutellarin",0,NA
"sapphirina","shoots","scutellarein",0,NA
"sapphirina","shoots","chrysinG",2.1995134362619,NA
"sapphirina","shoots","hispidulin",0,NA
"sapphirina","shoots","chrysin",0.315846337955356,NA
"sapphirina","shoots","scutellarin",0.474448074639103,NA
"blepharophylla","shoots","acteoside",0,NA
"blepharophylla","shoots","baicalin",0.0918692723515133,NA
"blepharophylla","shoots","oroxyloside",0,NA
"blepharophylla","shoots","wogonoside",0.299681516625217,NA
"blepharophylla","shoots","apigenin",0,NA
"blepharophylla","shoots","baicalein",0.0452829763775892,NA
"blepharophylla","shoots","wogonin",1.06457217150558,NA
"blepharophylla","shoots","oroxylinA",0,NA
"blepharophylla","shoots","hispidulinG",0,NA
"blepharophylla","shoots","apigeninG",0,NA
"blepharophylla","shoots","isoscutellarin",0,NA
"blepharophylla","shoots","scutellarein",0,NA
"blepharophylla","shoots","chrysinG",0,NA
"blepharophylla","shoots","hispidulin",0,NA
"blepharophylla","shoots","chrysin",0,NA
"blepharophylla","shoots","scutellarin",0.70575208250683,NA
"hispidula","shoots","acteoside",0,NA
"hispidula","shoots","baicalin",0,NA
"hispidula","shoots","oroxyloside",0,NA
"hispidula","shoots","wogonoside",0,NA
"hispidula","shoots","apigenin",0,NA
"hispidula","shoots","baicalein",0,NA
"hispidula","shoots","wogonin",0,NA
"hispidula","shoots","oroxylinA",0,NA
"hispidula","shoots","hispidulinG",0,NA
"hispidula","shoots","apigeninG",0,NA
"hispidula","shoots","isoscutellarin",2.69298742894644,NA
"hispidula","shoots","scutellarein",0.348998445072243,NA
"hispidula","shoots","chrysinG",0,NA
"hispidula","shoots","hispidulin",0.263357253071684,NA
"hispidula","shoots","chrysin",0,NA
"hispidula","shoots","scutellarin",9.5019291763432,NA
"guatemalensis","shoots","acteoside",0,NA
"guatemalensis","shoots","baicalin",0.576395215760589,NA
"guatemalensis","shoots","oroxyloside",0,NA
"guatemalensis","shoots","wogonoside",3.50282480931817,NA
"guatemalensis","shoots","apigenin",0,NA
"guatemalensis","shoots","baicalein",0,NA
"guatemalensis","shoots","wogonin",0.74702432427146,NA
"guatemalensis","shoots","oroxylinA",0,NA
"guatemalensis","shoots","hispidulinG",0,NA
"guatemalensis","shoots","apigeninG",0,NA
"guatemalensis","shoots","isoscutellarin",0,NA
"guatemalensis","shoots","scutellarein",0,NA
"guatemalensis","shoots","chrysinG",0.154243067562796,NA
"guatemalensis","shoots","hispidulin",0,NA
"guatemalensis","shoots","chrysin",0,NA
"guatemalensis","shoots","scutellarin",0,NA
"lutea","shoots","acteoside",0,NA
"lutea","shoots","baicalin",0,NA
"lutea","shoots","oroxyloside",0,NA
"lutea","shoots","wogonoside",0,NA
"lutea","shoots","apigenin",0,NA
"lutea","shoots","baicalein",0,NA
"lutea","shoots","wogonin",0,NA
"lutea","shoots","oroxylinA",0,NA
"lutea","shoots","hispidulinG",0,NA
"lutea","shoots","apigeninG",0,NA
"lutea","shoots","isoscutellarin",0,NA
"lutea","shoots","scutellarein",0,NA
"lutea","shoots","chrysinG",0,NA
"lutea","shoots","hispidulin",0,NA
"lutea","shoots","chrysin",0,NA
"lutea","shoots","scutellarin",0.223692541429666,NA
"purpurascens","shoots","acteoside",0,NA
"purpurascens","shoots","baicalin",0.253324289522693,NA
"purpurascens","shoots","oroxyloside",0,NA
"purpurascens","shoots","wogonoside",0.153488670540064,NA
"purpurascens","shoots","apigenin",0,NA
"purpurascens","shoots","baicalein",0,NA
"purpurascens","shoots","wogonin",0.225291299212996,NA
"purpurascens","shoots","oroxylinA",0,NA
"purpurascens","shoots","hispidulinG",0,NA
"purpurascens","shoots","apigeninG",0,NA
