"species","organ","metabolite","concentration_ppm","stError_ppm"
"wrightii","leaves","acteoside",0,0
"wrightii","leaves","apigenin",0.185403223147221,0.0301107188818171
"wrightii","leaves","apigeninG",0.362787749236464,0.0450867655661072
"wrightii","leaves","baicalein",12.9808219176274,3.43796033545304
"wrightii","leaves","baicalin",31.1222701290527,1.91557689596417
"wrightii","leaves","chrysin",1.71828081104156,0.220457457012976
"wrightii","leaves","chrysinG",1.43426058072487,0.0488629129987026
"wrightii","leaves","hispidulin",0.591223175169626,0.0812296803489616
"wrightii","leaves","hispidulinG",0,0
"wrightii","leaves","isoscutellarin",0,0
"wrightii","leaves","oroxylinA",0.652449294509437,0.121807221908921
"wrightii","leaves","oroxyloside",1.17581438297388,0.249139805398306
"wrightii","leaves","scutellarein",0,0
"wrightii","leaves","scutellarin",7.98983149500925,0.783671492312633
"wrightii","leaves","wogonin",0,0
"wrightii","leaves","wogonoside",0,0
"wrightii","roots","acteoside",0,0
"wrightii","roots","apigenin",0,0
"wrightii","roots","apigeninG",0,0
"wrightii","roots","baicalein",7.74115812729328,1.49952484202527
"wrightii","roots","baicalin",191.388095197277,24.9915721886804
"wrightii","roots","chrysin",0,0
"wrightii","roots","chrysinG",0,0
"wrightii","roots","hispidulin",0,0
"wrightii","roots","hispidulinG",0,0
"wrightii","roots","isoscutellarin",0,0
"wrightii","roots","oroxylinA",0.423479570977241,0.115302303216574
"wrightii","roots","oroxyloside",15.7227337585647,0.562251329375497
"wrightii","roots","scutellarein",0,0
"wrightii","roots","scutellarin",2.04104761441843,0.406891782402755
"wrightii","roots","wogonin",0.542825309483201,0.133146575333608
"wrightii","roots","wogonoside",8.45680138610743,2.81423960072991
"wrightii","stems","acteoside",0,0
"wrightii","stems","apigenin",0,0
"wrightii","stems","apigeninG",0.124537524590856,0.0625150418309904
"wrightii","stems","baicalein",0.310399857487523,0.214825702880527
"wrightii","stems","baicalin",37.6450881184503,18.0837048646169
"wrightii","stems","chrysin",0.0488263180985936,0.0488263180985936
"wrightii","stems","chrysinG",0,0
"wrightii","stems","hispidulin",0.280620246909479,0.164224502123683
"wrightii","stems","hispidulinG",0,0
"wrightii","stems","isoscutellarin",0,0
"wrightii","stems","oroxylinA",0.39680778072452,0.139766469089267
"wrightii","stems","oroxyloside",19.6068190082926,7.53425445328719
"wrightii","stems","scutellarein",0,0
"wrightii","stems","scutellarin",7.92743626396144,3.32043667681788
"wrightii","stems","wogonin",0.0156559913343835,0.0156559913343835
"wrightii","stems","wogonoside",0.469112809233315,0.107711309876271
