injectionName,acteoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,isoscutellarin,scutellarein,chrysinG,hispidulin,chrysin,scutellarin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.0024,0.0111,0.0064,0.0159,0.0137,0.0213,0.0218,0.0243,0,0,0,0,0,0,0,0
mix1_0.5,0.0193,0.0535,0.0389,0.0794,0.0532,0.099,0.1124,0.1171,0,0,0,0,0,0,0,0
mix1_1,0.0463,0.1104,0.0826,0.1586,0.1127,0.1933,0.2333,0.2456,0,0,0,0,0,0,0,0
mix1_5,0.169,0.6081,0.4554,0.8488,0.6054,1.1682,1.2479,1.2697,0,0,0,0,0,0,0,0
mix1_10,0.3121,1.1603,0.8793,1.627,1.1929,2.3234,2.3904,2.4363,0,0,0,0,0,0,0,0
mix1_25,0.6831,2.6306,1.9872,3.743,2.7302,5.3257,5.4031,5.4666,0,0,0,0,0,0,0,0
mix1_50,1.3541,5.1943,3.9515,7.3949,5.2678,10.5384,10.7595,10.8602,0,0,0,0,0,0,0,0
mix1_100,3.2874,10.1511,7.7397,14.4571,10.2345,18.8657,20.6831,20.9836,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0034,0.0087,0.0085,0.0105,0.0166,0.0201,0.086,0
mix2_0.5,0,0,0,0,0,0,0,0,0.0132,0.0467,0.0482,0.0716,0.0845,0.1022,0.1637,0
mix2_1,0,0,0,0,0,0,0,0,0.0278,0.0917,0.0922,0.1524,0.1757,0.2137,0.251,0
mix2_5,0,0,0,0,0,0,0,0,0.1293,0.4407,0.4469,0.8883,0.8147,1.0136,0.9517,0
mix2_10,0,0,0,0,0,0,0,0,0.251,0.8547,0.8826,1.784,1.5879,1.9738,1.7749,0
mix2_25,0,0,0,0,0,0,0,0,0.6626,2.2776,2.3033,4.7139,4.178,5.1954,4.6816,0
mix2_50,0,0,0,0,0,0,0,0,1.183,4.0216,4.0815,8.4328,7.4628,9.2499,8.0419,0
mix2_100,0,0,0,0,0,0,0,0,2.1712,7.4121,7.6402,15.2694,13.7531,16.9626,14.8585,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15mix,0.1992,0.6879,0.572,1.0532,0.7561,1.5154,1.4735,1.5544,0.1819,0.589,0.5973,1.2171,1.1062,1.3385,1.2482,0
IC-0-L,0.073,0,0,0,0.1546,0,0,0,0,0.3627,0.5216,0.03,0,0,0,1.9811
IC-0-S,0,0,0,0,0.0705,0,0,0,0,0.3366,0.3889,0.0212,0,0,0,1.3657
IC-1-L,0.0678,0,0,0,0.2438,0,0,0,0,0.7201,1.1734,0.4859,0,0,0,5.1014
IC-1-S,0,0,0,0,0.0946,0,0.0354,0,0,0.3273,0.3766,0.0486,0,0,0,1.2586
IC-1-R,0.0307,0.3575,0,1.7508,0,0,1.3248,0.0173,0,0,0,0,0.0132,0,0,0.1237
IC-2-L,0.0744,0,0,0,0.4864,0,0,0,0,0.6103,1.13,0.8972,0,0,0,4.6788
IC-2-S,0,0,0,0,0.11,0,0.0388,0,0,0.3503,0.4618,0.1114,0,0.0101,0,1.5232
IC-2-R,0.0181,0.2811,0,1.3483,0,0,0.9533,0.017,0,0,0,0,0.0277,0,0,0.0914
IC-3-L,0,0,0,0,0.03,0,0,0,0,0.0648,0.1018,0.0226,0,0,0,0.4134
IC-3-S,0,0,0,0.0192,0.1394,0,0.0569,0,0,0.2231,0.2851,0.0867,0,0.0131,0,1.212
IC-3-R,0.0758,0.311,0,1.7426,0,0,1.0779,0.0185,0,0,0,0,0,0,0,0.0723
BT-1-L,0,0,0,0,0.0606,0,0,0,0,0.0814,0.4087,0.1621,0,0,0,2.2472
BT-1-S,0,0,0,0,0,0,0,0,0,0.0422,0.4027,0.181,0,0.0058,0,0.4909
BT-1-R,0.1819,0.9689,0,0.9358,0,0.2303,0.2855,0.0242,0,0,0,0,0.0826,0,0,0.1472
BT-2-L,0,0,0,0,0.0903,0,0,0,0,0.1139,0.359,0.3981,0,0.0059,0,2.0162
BT-2-S,0,0,0,0.0289,0,0,0,0,0,0.0553,0.329,0.1016,0,0,0,0.3558
BT-2-R,0.101,0.6635,0,0.6019,0,0.1473,0.2043,0.0828,0,0,0,0,0,0,0,0
BT-3-L,0,0,0,0,0.1691,0,0,0,0,0.0555,0.4091,0.5256,0,0.0073,0,1.9495
BT-3-S,0,0,0,0,0,0,0,0,0,0.0538,0.3254,0.0655,0,0,0,0.3674
BT-3-R,0.1836,0.8734,0,0.8068,0,0.1903,0.2567,0.1133,0,0,0,0,0.0847,0,0,0.1818
DE-1-L,0,0,0,5.1857,0,0,1.0835,0,0,2.4899,0,0,0.148,0,0,0
DE-1-S,0,0.1148,0,2.5901,0,0,0.3543,0,0,0.4673,0,0,0.1488,0,0,0
DE-1-R,0.1629,2.1277,1.1744,1.9718,0,0.0714,1.0517,0.3256,0,0,0,0,0.2347,0,0.056,0.1541
DE-1-F,0,0,0,1.6209,0.3521,0,0.8148,0,0,0.9118,0,0,0.0119,0,0,0
DE-2-L,0,0,0,3.9694,0.9963,0,1.3872,0,0,2.4482,0,0,0,0,0,0
DE-2-S,0,0.1147,0,1.5674,0,0,0.2669,0,0,0.3606,0,0,0.1019,0,0,0
DE-2-R,0.1949,1.6844,1.2197,1.4534,0,0.0774,0.9737,0.3976,0,0.0112,0,0,0.2617,0,0.04,0
DE-2-F,0,0,0,2.0495,0.4403,0,0.8822,0,0,1.0529,0,0,0,0,0,0
DE-3-L,0,0,0,2.8264,0.9816,0,3.1058,0,0,0.9634,0,0,0.0708,0,0,0
DE-3-S,0,0.223,0,2.7795,0,0,0.2738,0,0,0.2637,0,0,0.1409,0,0.0246,0
DE-3-R,0.1034,1.2909,0.5434,1.1286,0,0.0552,0.695,0.1492,0,0,0,0,0.1363,0,0,0
IN-1-L,0,0,0,0,0,0,0,0,0,0,0.1461,0.1093,0,0,0,0.8967
IN-1-S,0,0,0,0,0,0,0,0,0,0,0.0522,0.0394,0,0,0,0.1096
IN-1-R,0,0.0206,0,0.5387,0,0,0.1509,0,0,0,0,0,0,0,0,0
IN-2-L,0,0,0,0,0,0,0,0,0,0,0.1304,0.1578,0,0,0,0.7588
IN-2-S,0,0,0,0.0806,0,0,0,0,0,0,0,0.0327,0,0,0,0.1664
IN-2-R,0,0,0,0.2127,0,0,0.0761,0,0,0,0,0,0,0,0,0
IN-3-L,0,0,0,0,0,0,0,0,0,0,0.1198,0.107,0,0,0,0.1726
IN-3-S,0,0,0,0,0,0,0,0,0,0,0,0.0082,0,0,0,0.055
IN-3-R,0,0,0,0.5122,0,0,0.1807,0,0,0,0,0,0,0,0,0
PA-1-L,0,0.0485,0,0,0.0169,0.0265,0,0,0,0.0733,0,0,4.0889,0,1.6953,0
PA-1-S,0.0376,0.1232,0,0,0.0526,0.0448,0,0.0316,0,0.0718,0,0,2.931,0,0.9095,0
PA-1-R,0.1131,1.1779,0,0,0,0.221,0,0.2716,0,0.0505,0,0,1.872,0,0,0
PA-1-F,0,0.0306,0,0,0.5604,0,0,0,0,0.233,0,0,3.3899,0,1.4587,0
PA-2-L,0,0.0592,0,0,0.023,0.0348,0,0,0,0.0712,0,0,4.8048,0,2.5079,0
PA-2-S,0,0.047,0,0,0,0,0,0,0,0.0529,0,0,2.158,0,0.7108,0
PA-2-R,0.0909,0.8074,0.0855,0.0158,0,0.1008,0,0.1543,0,0,0,0,1.3274,0,0,0
