injectionName,acteoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,isoscutellarin,scutellarein,chrysinG,hispidulin,chrysin,scutellarin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.0171,0.0542,0.0532,0.1164,0.0765,0.0219,0.2097,0.1605,0,0,0,0,0,0,0,0
mix1_0.5,0.0881,0.3731,0.3152,0.5988,0.444,0.2513,0.9201,0.8661,0,0,0,0,0,0,0,0
mix1_1,0.3704,0.7972,0.6465,1.1683,0.8787,0.6527,1.8326,1.7577,0,0,0,0,0,0,0,0
mix1_5,1.3509,3.6091,2.9123,5.272,3.9243,5.6267,8.3046,8.1342,0,0,0,0,0,0,0,0
mix1_10,2.7062,7.823,6.3614,11.6075,8.7292,15.006,18.1695,17.8343,0,0,0,0,0,0,0,0
mix1_25,5.3603,19.0103,15.3149,27.829,21.2185,39.8445,43.9124,43.4788,0,0,0,0,0,0,0,0
mix1_50,11.6251,41.8647,33.6531,60.1211,46.7624,87.819,95.0933,95.0178,0,0,0,0,0,0,0,0
mix1_100,20.3228,74.9537,59.6431,105.1611,83.5244,150.9111,165.1575,167.0089,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0203,0.0555,0.0655,0.0089,0.1189,0.1413,0.1547,0
mix2_0.5,0,0,0,0,0,0,0,0,0.0947,0.3513,0.3912,0.2384,0.6633,0.797,0.7655,0
mix2_1,0,0,0,0,0,0,0,0,0.0702,0.2985,0.3505,0.1955,0.5912,0.6629,0.7072,0
mix2_5,0,0,0,0,0,0,0,0,0.4424,1.7054,1.9604,2.7239,3.3311,3.8006,3.7241,0
mix2_10,0,0,0,0,0,0,0,0,1.6839,5.9319,6.7539,12.4321,11.2507,13.7029,12.3664,0
mix2_25,0,0,0,0,0,0,0,0,3.3992,11.6542,13.2533,25.157,22.4355,26.9098,24.5931,0
mix2_50,0,0,0,0,0,0,0,0,9.7245,33.0161,37.7355,71.5916,62.4886,74.3102,65.7239,0
mix2_100,0,0,0,0,0,0,0,0,18.8967,64.5299,72.7948,142.3763,119.4648,141.8744,129.9737,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRI-1-L,0,0.3419,0.0932,0,0,0.9646,0,0.1938,0,0,0,0,0.0942,0.0575,0.9438,0.0415
WRI-2-L,0,1.8407,0.239,0,0,2.2982,0,0.2234,0,0,0,0,0.1122,0.0335,1.2102,0.1078
WRI-3-L,0,4.0549,0.3404,0,0,1.6562,0,0.3481,0,0,0,0,0.7984,0.0533,1.8678,0.4909
WRI-1-S,0,50.502,20.2754,1.3581,0,0.9994,1.4946,3.3604,0,0.0346,0,0,5.7517,1.0824,0.486,2.8312
WRI-2-S,0,54.3195,21.5187,0.4605,0,9.1353,1.2347,6.5522,0,0.0653,0,0,6.1701,1.6859,1.8635,4.2293
WRI-3-S,0,49.0079,21.1992,1.1537,0,9.5252,1.8275,6.526,0,0.0268,0,0,5.234,1.2631,2.5353,3.2842
WRI-1-R,0,107.3595,8.3996,7.2119,0,32.8396,5.7865,4.0561,0,0,0,0,0,0,0,0
WRI-2-R,0,53.407,2.812,11.7493,0,39.236,10.0818,1.0282,0,0,0,0,0,0,0,0
WRI-3-R,0,65.5368,6.6847,4.2645,0,42.7637,6.9572,3.5223,0,0,0,0,0,0,0,0
15mix,10.5275,44.6281,37.1067,54.5644,38.1458,62.5501,93.862,80.425,9.0025,29.5978,30.2698,48.9376,46.6089,68.1245,45.7806,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scutellarin_0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
scutellarin_0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312
scutellarin_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588
scutellarin_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633
scutellarin_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3454
scutellarin_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7219
scutellarin_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6025
scutellarin_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3651
