"Species","Acteoside","Apigenin","Apigenin 7-G","Baicalein","Baicalin","Chrysin","Chrysin 7-G","Hispidulin","Hispiduloside","Oroxylin A","Oroxyloside","Scutellarein","Scutellarin","Wogonin","Wogonoside"
"S. longifolia","0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.131","0.084"
"S. seleriana","0.000","0.000","0.000","0.026"," 0.322","0.000"," 0.000","0.008","0.000","0.000"," 0.498","0.000"," 0.000","0.000","0.000"
"S. guatemalensis","0.000","0.000","0.000","0.000"," 0.129","0.000"," 0.036","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.263","0.761"
"S. costaricana","5.420","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000","0.000"," 0.139","0.000"," 0.000","0.087","0.656"
"S. lutea","0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.048","0.000","0.000"
"S. havanensis","0.000","0.000","0.000","0.000"," 0.293","0.022"," 0.029","0.000","0.000","0.000"," 0.000","0.000"," 0.286","0.105","0.128"
"S. splendens","7.029","0.060","0.486","0.000"," 0.000","0.000"," 0.000","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000"
"S. discolor","0.816","0.000","0.520","0.000"," 0.000","2.366"," 7.312","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.062"
"S. insignis","0.000","0.000","0.000","0.000"," 0.010","0.000"," 0.000","0.000","0.000","0.000"," 0.000","0.223"," 0.926","0.152","0.445"
"S. indica var. coccinea","0.321","0.792","1.463","0.000"," 0.462","0.000"," 0.015","0.007","0.000","0.019"," 0.000","0.627"," 5.762","1.290","1.609"
"S. javanica","0.000","0.026","0.076","0.000"," 0.000","0.000"," 0.000","0.165","0.000","0.000"," 0.000","0.000"," 0.000","0.000","0.000"
"S. barbata","0.173","0.000","0.040","0.496"," 0.864","0.008"," 0.000","0.064","0.000","0.025"," 0.115","2.164"," 0.882","1.305","0.588"
"S. siphocampyloides","0.094","0.000","0.071","0.242","13.056","0.055"," 0.593","0.000","0.000","0.120"," 5.896","0.000"," 0.987","0.059","1.041"
"S. antirrhinoides","0.000","0.000","0.164","0.000"," 1.171","0.046"," 1.159","0.000","0.000","0.000"," 0.000","0.000"," 0.450","0.000","0.000"
"S. angustifolia","0.000","0.000","0.000","0.050"," 2.797","0.000"," 0.078","0.000","0.000","0.000"," 0.163","0.000"," 0.534","0.000","0.950"
"S. angustifolia ssp. micranthum","0.000","0.000","0.434","0.030"," 2.493","0.582","10.828","0.010","0.000","0.000"," 0.000","0.000"," 6.045","0.000","0.000"
"S. parvula","0.000","0.000","0.302","0.000"," 0.000","0.000"," 2.253","0.000","0.000","0.000"," 0.000","0.000","10.180","0.441","8.340"
"S. ovata","0.000","0.000","4.848","0.000"," 0.000","0.000"," 0.125","0.000","0.000","0.000"," 0.344","0.000"," 0.000","0.000","0.000"
"S. sapphirina","0.826","0.000","0.052","0.104"," 7.410","0.129"," 4.088","0.000","0.000","0.046"," 0.991","0.000"," 0.369","0.138","3.822"
"S. racemosa","0.000","0.000","0.030","0.019"," 4.090","0.000"," 0.000","0.011","0.000","0.195","15.000","0.000"," 1.606","0.000","0.206"
"S. strigillosa","0.095","0.073","2.113","1.092","13.171","0.162"," 0.598","0.000","0.000","0.032"," 0.389","0.000"," 2.110","0.544","0.984"
"S. scordiifolia","0.000","0.000","0.000","0.000"," 0.381","0.000"," 0.444","0.000","0.000","0.000"," 0.000","0.000"," 0.000","0.066","0.668"
