"species","organ","Apigenin","Apigenin 7-G","Baicalein","Baicalin","Chrysin","Chrysin 7-G","Hispidulin","Hispiduloside","Oroxylin A","Oroxyloside","Scutellarein","Scutellarin","Wogonin","Wogonoside"
"S. altissima","Leaves","0.00 ± 0.00","0.28 ± 0.15"," 0.70 ± 0.18"," 0.00 ± 0.00"," 0.75 ± 0.07","2.62 ± 0.18","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.65 ± 0.28","4.17 ± 1.22","0.00 ± 0.00","0.00 ± 0.00"
"S. altissima","Roots","0.00 ± 0.00","0.00 ± 0.00"," 0.07 ± 0.00"," 5.07 ± 0.66"," 0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00"," 0.14 ± 0.02"," 0.64 ± 0.07","0.00 ± 0.00","0.00 ± 0.00","2.90 ± 0.21","2.30 ± 0.26"
"S. altissima","Stems","0.00 ± 0.00","0.00 ± 0.00"," 0.15 ± 0.05"," 0.47 ± 0.38"," 0.04 ± 0.02","0.35 ± 0.05","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.06 ± 0.06","0.00 ± 0.00","1.11 ± 0.13","0.34 ± 0.26","1.26 ± 0.51"
"S. baicalensis","Leaves","0.19 ± 0.03","0.13 ± 0.01"," 0.19 ± 0.08"," 0.20 ± 0.11"," 4.84 ± 0.53","1.45 ± 0.24","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.27 ± 0.14","0.10 ± 0.10","0.00 ± 0.00","0.00 ± 0.00"
"S. baicalensis","Roots","0.00 ± 0.00","0.00 ± 0.00"," 0.20 ± 0.03","32.81 ± 2.22"," 0.00 ± 0.00","0.30 ± 0.01","0.00 ± 0.00","0.00 ± 0.00"," 0.23 ± 0.13"," 0.87 ± 0.87","0.00 ± 0.00","0.00 ± 0.00","3.49 ± 0.18","6.43 ± 0.43"
"S. baicalensis","Stems","0.12 ± 0.12","0.22 ± 0.01"," 0.06 ± 0.03"," 0.87 ± 0.87"," 0.18 ± 0.04","0.09 ± 0.01","0.03 ± 0.02","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","1.04 ± 0.43","1.76 ± 0.28","0.11 ± 0.11","0.02 ± 0.02"
"S. barbata","Leaves","0.00 ± 0.00","0.01 ± 0.01"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.03 ± 0.00","0.00 ± 0.00","0.10 ± 0.02","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","4.59 ± 0.33","1.51 ± 0.70","0.00 ± 0.00","0.00 ± 0.00"
"S. barbata","Roots","0.00 ± 0.00","0.00 ± 0.00"," 1.49 ± 0.04"," 2.59 ± 0.49"," 0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00"," 0.08 ± 0.01"," 0.34 ± 0.18","0.00 ± 0.00","0.00 ± 0.00","3.88 ± 0.34","1.77 ± 0.30"
"S. barbata","Stems","0.00 ± 0.00","0.11 ± 0.02"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00","0.09 ± 0.01","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","1.90 ± 0.23","1.13 ± 0.25","0.03 ± 0.02","0.00 ± 0.00"
"S. leonardii","Leaves","0.11 ± 0.01","0.00 ± 0.00"," 0.22 ± 0.03"," 0.07 ± 0.03","25.34 ± 0.72","0.79 ± 0.09","0.13 ± 0.01","0.00 ± 0.00"," 0.59 ± 0.11"," 0.00 ± 0.00","0.22 ± 0.04","0.00 ± 0.00","0.07 ± 0.07","0.06 ± 0.02"
