"species","organ","Apigenin","Apigenin 7-G","Scutellarein","Scutellarin","Hispidulin","Hispiduloside","Chrysin","Chrysin 7-G","Baicalein","Baicalin","Oroxylin A","Oroxyloside","Wogonin","Wogonoside","Acteoside"
"S. insignis","Leaves","0.00 ± 0.00"," 0.00 ± 0.00","0.55 ± 0.07"," 2.35 ± 0.86","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"
"S. insignis","Stems","0.00 ± 0.00"," 0.00 ± 0.00","0.12 ± 0.04"," 0.43 ± 0.12","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.08 ± 0.08","0.00 ± 0.00"
"S. insignis","Roots","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.03 ± 0.03"," 0.00 ± 0.00"," 0.00 ± 0.00","0.46 ± 0.10"," 1.26 ± 0.31","0.00 ± 0.00"
"S. indica var. coccinea","Leaves","1.64 ± 0.80"," 2.58 ± 0.98","1.59 ± 1.07","11.75 ± 4.97","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00","0.54 ± 0.21"
"S. indica var. coccinea","Stems","0.74 ± 0.12"," 1.81 ± 0.20","0.30 ± 0.10"," 5.17 ± 0.31","0.02 ± 0.01","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.11 ± 0.05"," 0.01 ± 0.02","0.00 ± 0.00"
"S. indica var. coccinea","Roots","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.37 ± 0.06","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.04 ± 0.03"," 0.00 ± 0.00"," 1.39 ± 0.10"," 0.06 ± 0.00"," 0.00 ± 0.00","3.76 ± 0.37"," 4.81 ± 0.40","0.42 ± 0.18"
"S. barbata","Leaves","0.00 ± 0.00"," 0.01 ± 0.01","4.59 ± 0.33"," 1.51 ± 0.70","0.10 ± 0.02","0.00 ± 0.00"," 0.03 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"
"S. barbata","Stems","0.00 ± 0.00"," 0.11 ± 0.02","1.90 ± 0.23"," 1.13 ± 0.25","0.09 ± 0.01","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00","0.03 ± 0.02"," 0.00 ± 0.00","0.00 ± 0.00"
"S. barbata","Roots","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00","0.00 ± 0.00"," 0.00 ± 0.00"," 0.00 ± 0.00"," 1.49 ± 0.04"," 2.59 ± 0.49"," 0.08 ± 0.01"," 0.34 ± 0.18","3.88 ± 0.34"," 1.77 ± 0.30","0.52 ± 0.08"
"S. racemosa","Leaves","0.00 ± 0.00"," 0.00 ± 0.00","0.00 ± 0.00"," 1.20 ± 0.35","0.63 ± 0.18","0.00 ± 0.00"," 0.12 ± 0.01"," 0.00 ± 0.00"," 0.34 ± 0.29"," 7.59 ± 1.95","14.39 ± 2.58","29.39 ± 8.00","0.02 ± 0.02"," 0.00 ± 0.00","1.64 ± 1.64"
