"","species","organ","acetoside","apigenin","apigeninG","baicalein","baicalin","chrysin","chrysinG","hispidulin","hispidulinG","oroxylinA","oroxyloside","scutellarein","scutellarin","wogonin","wogonoside"
"1","alpina","leaves",0.995516047428013,1.25111403138659,6.48405928866822,0,0,0.822811709172837,1.20770298769724,0,0,0,0,1.01376381533006,0,0,0
"2","alpina","stems",0,0.982668029856231,2.11151801139663,0,0,0,0.220245543615124,0.0257987406579357,0,0,0,0.535523623144676,0.0540615902227152,0.0354047562408313,0
"3","altissima","leaves",0,0.0821353461610154,0,0,0,0,0.309940536836523,0,0,0.0699875271550085,0,0,0,0,0
"4","angulosa","leaves",0,0,0.862013357016751,0.371379870357053,20.3278476161385,0.214454166617366,4.54620085208943,0,0,0,0,0,0,0,0
"5","angustifolia","leaves",0,0,0,0.0503749322368421,2.79663201082769,0,0.0805267246135168,0,0,0,0.162755568737941,0,0,0,0.949553963427152
"6","angustifolia ssp. micranthum","leaves",0,0,0.447639824622317,0.0304624068150594,2.49308551794888,0.581847091562335,11.191888663673,0.00995971360257277,0,0,0,0,0,0,0
"7","antirrhinoides","leaves",0,0,0.16930886145322,0,1.17073723046016,0.045554653706471,1.19776778749746,0,0,0,0,0,0,0,0
"8","arenicola","leaves",0.100530410857222,0,0.190587199786062,0,0,0,0.0717384654802256,0.0900215628496215,0,0,0,0,0,0,0.0224074854953067
"9","astinae","leaves",0,0,0,0.139899968677689,8.32915636931467,0.238076776691707,9.83748119825226,0,0,0,0.889228518049589,0,0,0.0293463946824548,0
"10","astinae","stems",0,0,0.198989605939914,0.121942595145592,6.40789982477211,0.188862439515952,5.20197400131304,0,0,0,0.769278523854272,0,0,0.119681581995573,3.25405372341123
"11","blepharophylla","stems",0,0,0,0.0167565779964436,0.0205800341289232,0,0,0,0,0,0,0,0,0.374506498102294,0.0650915544364068
"12","brittonii","leaves",0.20766778488662,0,0,0,0.103837265018263,0,0.483110307771446,0,0,0,0,0,0,0.133571224765276,1.46802944350822
"13","californica","leaves",0,0,0.0775243405014544,0.0469184183900422,6.36505134358127,0,0,0,0,0,0.867993613826699,0,0,0,0.241590269545971
"14","coccinea","leaves",0,0,0,0,0,0,0,0.0152538671164228,0,0,0,0,0,3.46875131336739,0.0112007414771611
"15","coerulea","leaves",3.76965631089388,0.18047324580163,1.8785485318452,0,0,0,0.0285794602269044,0.0109799440240174,2.2849030389276,0,0,0,0,1.33752802009981,2.42717585495995
"16","costaricana","leaves",5.41980065374312,0,0,0,0,0,0,0,0,0,0.138715710332102,0,0,0.086572829020496,0.656487251788319
"17","discolor","leaves",0.81565099305434,0,0.536335012917657,0,0,2.36616339387703,7.55790285463045,0,0,0,0,0,0,0,0.0616460959112778
"18","drummondii","stems",0,0,0,0,0,0.0627161595026235,0.289918726568007,0.0223080822206293,0,0,0,0.022758905638778,0.236206839448153,0,0
"19","elliptica","leaves",0,0.0479590696544497,0.119834766013366,0,0,0.0536273964760282,0.108736723681946,0,0,0,0.0668386910594681,0,0,0,0.0570241393531781
"20","epilobiifolia","leaves",0,0,0,0,3.20210967268376,0.0837114020763542,1.36181657884665,0,0,0,0,0,0,0,0
"21","epilobiifolia","stems",0,0,0,0,2.14525653950086,0.0841540268064341,0.871956152102063,0,0,0,1.15565535209037,0,0.0361831778935417,0,0
"22","formosa","leaves",0,0,0,0.794377497564606,2.6830694859575,0.158072356729771,0.111632996683582,0.1193759327724,0,0.750735317461679,0.551300830395039,0,0,0,0.0911898270401338
"23","fruticosa","leaves",1.38131086411567,2.57684213122195,2.78006738264389,0,0,5.84378066292503,6.3868734765548,0.460105060389889,0,0,0,0,0,0,0
"24","galericulata","leaves",0,0,0,0,3.89531292255625,0,0.991996950434599,0,0,0,0,0,0,0,0
"25","galericulata","stems",0,0,0,0,2.60635811019108,0,0,0,0,0,0.295357313084991,0,0,0.297978776775694,1.42427856448003
"26","glabriuscula","leaves",0,0,0.738865393661711,0,0,0.0781411943140198,2.98419256220776,0.0374921056231489,0,0,0,0,0,0,0.158683173467434
"27","guatemalensis","stems",0,0,0,0,0.129120792061064,0,0.0370420431226695,0,0,0,0,0,0,0.262796145877528,0.760822069791088
"28","havanensis","stems",0,0,0,0,0.293400644179509,0.0215765756403724,0.0295360566743069,0,0,0,0,0,0.102233304551004,0.104893381911837,0.127842117888841
"29","heydei","leaves",0.88395463390627,0,0.0481980667339392,0,0.100665560984383,0.0762938847557686,0.86029863677908,0,0,0,0,0,0,0,0
"30","hispidula","stems",0,0,0,0,0,0,0,0.0877097359194312,0,0,0,0.121925113566323,0.582393475118175,0,0
"31","holmgreniorum","leaves",2.12100887020069,0,0.0580593061191227,0.344846245852142,15.026421428591,0.148343269874501,2.10145511721027,0,0,0,0.235049282444783,0,0,0.0719968896133557,2.43269819654787
"32","holmgreniorum","stems",0,0,0.376935210007488,0.134981023057054,11.9663033371567,0,1.85621651194372,0,0,0,0.814020856310035,0,0,0.0883478903688102,3.42406272615109
"33","hookeri","leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","incana","leaves",0.607080098093825,0,0.418895599036448,0,0,0.011324007592079,0.147867933032744,0,0,0,0,0,0,0,0.259225734958564
"35","integrifolia","leaves",0,0.0554187508311142,0.234722122482745,0,0,0,0,0.40227185459592,0,0,0,0,0.0824185942771109,0,0.0947801221459666
"36","isocheila","leaves",0,0,0,0,0,0,0,0.00414843749779604,0,0,0,0,0,0,0
"37","javalambrensis","stems",0.274212737699912,0,0,0.10685136282934,5.39460001444236,0,1.29690935850292,0,0,0.040318188677701,0.566407566606961,0,0,0.311019419742039,2.96736814079183
"38","javanica","leaves",0,0.026248057274606,0.0780168428090005,0,0,0,0,0.165180383380677,0,0,0,0,0,0,0
"39","lateriflora","leaves",0.711256865120468,0.0996475748641385,0.600574150493459,0.0960053600498894,8.59895402780764,0,0,0,0,0.0382366411446341,0.849698884520714,0,0,0.0878944779591865,0.306873246200709
"40","leonardii","stems",0,0,0.0326394711091887,0,0.0374837749458497,0,0.31960490297128,0,0,0,0,0.0192070350102409,0,0.0789319788415373,0.235311611676136
"41","leptosiphon","leaves",0.626900987610356,0,0,0,2.55579875680061,0.663978474522176,2.30947944036445,0,0,0.0259088956422754,0,0,0,0.0308121883973356,0.398988899242711
