injectionName,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.0214,0.105,0.0792,0.1219,0.0875,0.1079,0.267,0.1827,0,0,0,0,0,0,0
mix1_0.5,0.1309,0.4197,0.3359,0.6074,0.4365,0.7374,0.9997,0.9163,0,0,0,0,0,0,0
mix1_1,0.324,0.8573,0.6916,1.2319,0.8839,1.5886,1.9511,1.8952,0,0,0,0,0,0,0
mix1_5,1.1494,4.4465,3.4881,6.3766,4.6001,9.1768,9.6757,9.6895,0,0,0,0,0,0,0
mix1_10,2.0247,8.9265,6.7712,12.378,8.88,17.9424,18.7585,18.855,0,0,0,0,0,0,0
mix1_25,5.0856,20.5748,16.1825,29.3435,21.2546,43.2597,44.2358,44.9287,0,0,0,0,0,0,0
mix1_50,9.7794,39.7681,31.2054,56.0857,40.8703,81.9376,84.3173,86.0163,0,0,0,0,0,0,0
mix1_100,18.47,67.3124,53.3938,92.504,69.9086,127.3708,139.715,144.5344,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0208,0.0654,0.0701,0.0895,0.1298,0.1539,0.1945
mix2_0.5,0,0,0,0,0,0,0,0,0.097,0.3312,0.3391,0.5856,0.6161,0.7741,0.7735
mix2_1,0,0,0,0,0,0,0,0,0.2037,0.6839,0.7034,1.3205,1.2774,1.6088,1.5235
mix2_5,0,0,0,0,0,0,0,0,1.1108,3.2988,3.3812,6.9467,6.2291,7.7736,7.0385
mix2_10,0,0,0,0,0,0,0,0,1.9639,6.5695,6.7329,13.8236,12.3889,15.4033,13.6831
mix2_25,0,0,0,0,0,0,0,0,4.8304,16.2528,16.6052,34.5056,30.2519,38.1522,33.5528
mix2_50,0,0,0,0,0,0,0,0,9.4834,31.4054,31.8969,66.1363,57.2905,72.0629,63.9874
mix2_100,0,0,0,0,0,0,0,0,15.9396,52.8194,54.5688,112.0406,96.9634,118.7208,109.7872
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC-0-L,0.6547,0,0,0,1.3923,0,0,0,0,3.1109,4.3616,0.529,0,0,0
IC-0-S,0,0,0,0,0.6743,0,0,0,0,2.5714,3.3044,0.1775,0,0,0
IC-1-L,0.4292,0,0,0,2.15,0,0,0,0,6.0985,9.9492,6.7907,0,0.0199,0
IC-1-S,0,0,0,0.0798,0.8073,0,0.3762,0,0,2.4215,3.2841,0.4841,0,0.0635,0
IC-1-R,0,2.3251,0,15.3384,0,0,10.5412,0,0,0,0,0,0,0,0
IC-2-L,0,0,0,0,4.3134,0,0,0,0,5.001,9.0918,11.6069,0,0.0836,0
IC-2-S,0,0,0,0,1.0382,0,0.455,0,0,2.7743,3.9645,1.1285,0,0.1251,0
IC-2-R,0,1.7893,0,11.8007,0,0,7.4115,0,0,0,0,0,0,0,0
IC-3-L,0,0,0,0,0.2535,0,0,0,0,0.584,0.8639,0.3439,0,0,0
IC-3-S,0,0,0,0,1.2857,0,0.6474,0,0,1.7503,2.4422,0.9535,0,0.1602,0
IC-3-R,1.1752,2.2606,0,15.5964,0,0,8.3845,0,0,0,0,0,0,0,0
BT-1-L,0,0,0,0,0,0,0,0,1.3841,1.3451,3.2332,1.5297,0,0,0
BT-1-S,0,0,0,0.0804,0,0.0348,0,0,0,0,3.4007,1.6707,0,0.0541,0
BT-1-R,2.186,19.368,0,20.8457,0,5.6837,5.8579,0,0,0,0,0,0,0,1.3518
BT-2-L,0,0,0,0,0,0,0,0,0,0,7.7028,38.0087,0,0,0
BT-2-S,0,0,0,0,0,0,0,0,0,0,6.9441,9.4447,0,0,0
BT-2-R,0.888,12.8729,1.1879,11.0899,0,3.443,3.7296,0,7.4071,0,0,0,0,0,1.2881
