species,clade
orientalis,1
pinnatifida,1
multicaulis,1
heydei,1
leptosiphon,1
alpina,1
prostrata,1
przewalskii,1
baicalensis,1
scordiifolia,2
strigillosa,2
galericulata,2
dependens,2
lateriflora,2
indica var. coccinea,2
javanica,2
barbata,2
discolor,2
insignis,2
sapphirina,2
ovata,2
parvula,2
angustifolia,2
angustifolia ssp. micranthum,2
siphocampyloides,2
antirrhinoides,2
racemosa,2
incana,3
arenicola,3
multiglandulosa,3
serrata,3
integrifolia,3
elliptica,3
glabriuscula,3
resinosa,3
drummondii,3
potosina,3
hispidula,3
suffrutescens,3
longifolia,4
seleriana,4
guatemalensis,4
costaricana,4
lutea,4
havanensis,4
splendens,4
altissima,5
tournefortii,5
heterophylla,5
oblonga,5
purpurascens,5
angulosa,NA
astinae,NA
blepharophylla,NA
brittonii,NA
californica,NA
coccinea,NA
coerulea,NA
epilobiifolia,NA
formosa,NA
fruticosa,NA
holmgreniorum,NA
hookeri,NA
isocheila,NA
javalambrensis,NA
leonardii,NA
lutilaba,NA
microphylla,NA
muriculata,NA
paucifolia,NA
pekinensis var. alpina,NA
peregrina,NA
pseudoserrata,NA
pulchella,NA
relenorskyi,NA
sumatrana,NA
tessellata,NA
