,species,organ,metabolite,concentration_ppm,stError_ppm
1,alpina,all,apigenin,3.018286321,NA
2,altissima,all,apigenin,0.221962559,NA
3,astinae,all,apigenin,0,NA
4,coerulea,all,apigenin,0.487710899,NA
5,costaricana,all,apigenin,0,NA
6,epilobiifolia,all,apigenin,0,NA
7,formosa,all,apigenin,0,NA
8,fruticosa,all,apigenin,6.963658175,NA
9,galericulata,all,apigenin,0,NA
10,holmgreniorum,all,apigenin,0,NA
11,hookeri,all,apigenin,0,NA
12,isocheila,all,apigenin,0,NA
13,lateriflora,all,apigenin,0.269287606,NA
14,longifolia,all,apigenin,0,NA
15,lutilaba,all,apigenin,0.365606211,NA
16,microphylla,all,apigenin,0.468160666,NA
17,orientalis,all,apigenin,0,NA
18,ovata,all,apigenin,0,NA
19,parvula,all,apigenin,0,NA
20,potosina,all,apigenin,0,NA
21,pulchella,all,apigenin,0,NA
22,resinosa,all,apigenin,0.064768574,NA
23,sapphirina,all,apigenin,0,NA
24,serrata,all,apigenin,0,NA
25,siphocampuloides,all,apigenin,0,NA
26,splendens,all,apigenin,0.162300641,NA
27,tessellata,all,apigenin,0,NA
28,alpina,all,apigeninG,18.58363812,NA
29,altissima,all,apigeninG,0,NA
30,astinae,all,apigeninG,0.430215528,NA
31,coerulea,all,apigeninG,8.122843852,NA
32,costaricana,all,apigeninG,0,NA
33,epilobiifolia,all,apigeninG,0,NA
34,formosa,all,apigeninG,0,NA
35,fruticosa,all,apigeninG,12.02101136,NA
36,galericulata,all,apigeninG,0,NA
37,holmgreniorum,all,apigeninG,0.814933924,NA
38,hookeri,all,apigeninG,0,NA
39,isocheila,all,apigeninG,0,NA
40,lateriflora,all,apigeninG,2.596882627,NA
41,longifolia,all,apigeninG,0,NA
42,lutilaba,all,apigeninG,2.169744846,NA
43,microphylla,all,apigeninG,0.240911775,NA
44,orientalis,all,apigeninG,0,NA
45,ovata,all,apigeninG,21.64004178,NA
46,parvula,all,apigeninG,1.349792856,NA
47,potosina,all,apigeninG,1.911615529,NA
48,pulchella,all,apigeninG,0,NA
49,resinosa,all,apigeninG,2.873210796,NA
50,sapphirina,all,apigeninG,0,NA
51,serrata,all,apigeninG,0,NA
52,siphocampuloides,all,apigeninG,0.317141773,NA
53,splendens,all,apigeninG,2.171149904,NA
54,tessellata,all,apigeninG,2.860230732,NA
55,alpina,all,scutellarein,2.217340182,NA
56,altissima,all,scutellarein,0,NA
57,astinae,all,scutellarein,0,NA
58,coerulea,all,scutellarein,0,NA
59,costaricana,all,scutellarein,0,NA
60,epilobiifolia,all,scutellarein,0,NA
61,formosa,all,scutellarein,0,NA
62,fruticosa,all,scutellarein,0,NA
63,galericulata,all,scutellarein,0,NA
64,holmgreniorum,all,scutellarein,0,NA
65,hookeri,all,scutellarein,0,NA
66,isocheila,all,scutellarein,0,NA
67,lateriflora,all,scutellarein,0,NA
68,longifolia,all,scutellarein,0,NA
69,lutilaba,all,scutellarein,4.046442976,NA
70,microphylla,all,scutellarein,0,NA
71,orientalis,all,scutellarein,0.708497038,NA
72,ovata,all,scutellarein,0,NA
73,parvula,all,scutellarein,0,NA
74,potosina,all,scutellarein,0.541902762,NA
75,pulchella,all,scutellarein,0,NA
76,resinosa,all,scutellarein,1.586786909,NA
77,sapphirina,all,scutellarein,0,NA
78,serrata,all,scutellarein,0,NA
79,siphocampuloides,all,scutellarein,0,NA
80,splendens,all,scutellarein,0,NA
81,tessellata,all,scutellarein,0.386318254,NA
82,alpina,all,scutellarin,0.124990397,NA
83,altissima,all,scutellarin,0,NA
84,astinae,all,scutellarin,0,NA
85,coerulea,all,scutellarin,0,NA
86,costaricana,all,scutellarin,0,NA
