"","species","organ","metabolite","concentration_ppm","stError_ppm"
"1","wrightii","leaves","acetoside",0,0
"2","wrightii","leaves","apigenin",0.185403223147221,0.0301107188818171
"3","wrightii","leaves","apigeninG",0.362787749236464,0.0450867655661072
"4","wrightii","leaves","baicalein",12.9808219176274,3.43796033545304
"5","wrightii","leaves","baicalin",31.1222701290527,1.91557689596417
"6","wrightii","leaves","chrysin",1.71828081104156,0.220457457012976
"7","wrightii","leaves","chrysinG",1.43426058072487,0.0488629129987026
"8","wrightii","leaves","hispidulin",0.591223175169626,0.0812296803489616
"9","wrightii","leaves","hispidulinG",0,0
"10","wrightii","leaves","oroxylinA",0.652449294509437,0.121807221908921
"11","wrightii","leaves","oroxyloside",1.17581438297388,0.249139805398306
"12","wrightii","leaves","scutellarein",0,0
"13","wrightii","leaves","scutellarin",0,0
"14","wrightii","leaves","wogonin",0,0
"15","wrightii","leaves","wogonoside",0,0
"16","wrightii","roots","acetoside",0,0
"17","wrightii","roots","apigenin",0,0
"18","wrightii","roots","apigeninG",0,0
"19","wrightii","roots","baicalein",7.74115812729328,1.49952484202527
"20","wrightii","roots","baicalin",191.388095197277,24.9915721886804
"21","wrightii","roots","chrysin",0,0
"22","wrightii","roots","chrysinG",0,0
"23","wrightii","roots","hispidulin",0,0
"24","wrightii","roots","hispidulinG",0,0
"25","wrightii","roots","oroxylinA",0.423479570977241,0.115302303216574
"26","wrightii","roots","oroxyloside",15.7227337585647,0.562251329375497
"27","wrightii","roots","scutellarein",0,0
"28","wrightii","roots","scutellarin",0,0
"29","wrightii","roots","wogonin",0.542825309483201,0.133146575333608
"30","wrightii","roots","wogonoside",8.45680138610743,2.81423960072991
"31","wrightii","shoots","acetoside",0,0
"32","wrightii","shoots","apigenin",0,0
"33","wrightii","shoots","apigeninG",0.124537524590856,0.0625150418309904
"34","wrightii","shoots","baicalein",0.310399857487523,0.214825702880527
"35","wrightii","shoots","baicalin",37.6450881184503,18.0837048646169
"36","wrightii","shoots","chrysin",0.0488263180985936,0.0488263180985936
"37","wrightii","shoots","chrysinG",0,0
"38","wrightii","shoots","hispidulin",0.280620246909479,0.164224502123683
"39","wrightii","shoots","hispidulinG",0,0
"40","wrightii","shoots","oroxylinA",0.39680778072452,0.139766469089267
"41","wrightii","shoots","oroxyloside",19.6068190082926,7.53425445328719
"42","wrightii","shoots","scutellarein",0,0
"43","wrightii","shoots","scutellarin",0,0
"44","wrightii","shoots","wogonin",0.0156559913343835,0.0156559913343835
"45","wrightii","shoots","wogonoside",0.469112809233315,0.107711309876271
