,species,organ,metabolite,concentration_ppm,stError_ppm
1,suffrutescens,leaves,acetoside,0,0
2,suffrutescens,leaves,apigenin,0,0
3,suffrutescens,leaves,apigeninG,0,0
4,suffrutescens,leaves,baicalein,2.373843571,0.20698654
5,suffrutescens,leaves,baicalin,105.8639838,20.94727736
6,suffrutescens,leaves,chrysin,0,0
7,suffrutescens,leaves,chrysinG,2.248697705,0.084566339
8,suffrutescens,leaves,hispidulin,0,0
9,suffrutescens,leaves,hispidulinG,0,0
10,suffrutescens,leaves,oroxylinA,0,0
11,suffrutescens,leaves,oroxyloside,0,0
12,suffrutescens,leaves,scutellarein,0,0
13,suffrutescens,leaves,scutellarin,0,0
14,suffrutescens,leaves,wogonin,0,0
15,suffrutescens,leaves,wogonoside,0,0
16,suffrutescens,roots,acetoside,0,0
17,suffrutescens,roots,apigenin,0,0
18,suffrutescens,roots,apigeninG,0,0
19,suffrutescens,roots,baicalein,8.848233595,1.260477501
20,suffrutescens,roots,baicalin,121.7770065,19.36486063
21,suffrutescens,roots,chrysin,0,0
22,suffrutescens,roots,chrysinG,0,0
23,suffrutescens,roots,hispidulin,0,0
24,suffrutescens,roots,hispidulinG,0,0
25,suffrutescens,roots,oroxylinA,0,0
26,suffrutescens,roots,oroxyloside,0,0
27,suffrutescens,roots,scutellarein,0,0
28,suffrutescens,roots,scutellarin,0,0
29,suffrutescens,roots,wogonin,0,0
30,suffrutescens,roots,wogonoside,0,0
31,suffrutescens,shoots,acetoside,0,0
32,suffrutescens,shoots,apigenin,0,0
33,suffrutescens,shoots,apigeninG,0,0
34,suffrutescens,shoots,baicalein,2.369133341,0.123704933
35,suffrutescens,shoots,baicalin,81.95053246,1.508115245
36,suffrutescens,shoots,chrysin,0,0
37,suffrutescens,shoots,chrysinG,0,0
38,suffrutescens,shoots,hispidulin,0,0
39,suffrutescens,shoots,hispidulinG,0,0
40,suffrutescens,shoots,oroxylinA,0,0
41,suffrutescens,shoots,oroxyloside,5.453347852,0.581549364
42,suffrutescens,shoots,scutellarein,0,0
43,suffrutescens,shoots,scutellarin,0,0
44,suffrutescens,shoots,wogonin,0,0
45,suffrutescens,shoots,wogonoside,0,0
