injection,acteoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,isoscutellarin,scutellarein,chrysinG,hispidulin,chrysin,scutellarin
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix1_0.1,0.1004,0.1585,0.1716,0.2945,0.2235,0.0828,0.4929,0.4704,0,0,0,0,0,0,0,0
mix1_0.5,0.3302,0.6976,0.6666,1.2126,0.8871,0.7275,1.924,1.8792,0,0,0,0,0,0,0,0
mix1_1,0.799,1.7421,1.5563,2.8605,2.0679,2.0216,4.4285,4.377,0,0,0,0,0,0,0,0
mix1_5,3.4817,11.0774,9.4108,17.0617,11.4368,19.4836,19.6236,25.4156,0,0,0,0,0,0,0,0
mix1_10,5.9953,20.917,17.2434,31.5605,22.8987,39.1188,47.5866,48.0436,0,0,0,0,0,0,0,0
mix1_25,8.8295,33.3696,26.9073,48.8944,35.8482,66.7833,74.2298,75.1602,0,0,0,0,0,0,0,0
mix1_50,15.1187,56.708,45.4035,81.3083,60.3375,113.8524,123.3258,125.5209,0,0,0,0,0,0,0,0
mix1_100,14.6041,50.9452,41.6583,74.0526,58.5405,92.6376,120.392,121.8489,0,0,0,0,0,0,0,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix2_0.1,0,0,0,0,0,0,0,0,0.0513,0.1758,0.2108,0.0561,0.3383,0.4004,0.4037,0
mix2_0.5,0,0,0,0,0,0,0,0,0.3124,1.15,1.2199,0.6799,2.1562,1.6354,1.1243,0
mix2_1,0,0,0,0,0,0,0,0,0.6245,2.3958,2.5166,1.5371,4.5582,2.5745,1.2044,0
mix2_5,0,0,0,0,0,0,0,0,1.967,6.9485,7.3128,12.5148,13.2194,16.484,14.6435,0
mix2_10,0,0,0,0,0,0,0,0,3.2668,11.6278,12.1775,22.0793,22.0046,27.3874,24.4157,0
mix2_25,0,0,0,0,0,0,0,0,9.7286,33.8798,34.8653,67.8754,63.1093,78.5777,69.9101,0
mix2_50,0,0,0,0,0,0,0,0,12.9031,44.8714,45.8653,91.2747,82.9918,103.0611,92.3898,0
mix2_100,0,0,0,0,0,0,0,0,13.7566,47.4246,48.6372,95.9692,87.9552,114.5181,106.4399,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,13.8343,0,0,0,0.2027,0,0,0,1.9996,0,0,89.4637,0.0713,3.1497,19.8293
32,0,15.5187,0.7517,7.9096,0,0.3352,0,0,0,0,0,0,0.6437,0,0,1.7513
33,0,6.4965,0,0,0,0,0,0,0,0.7563,0,0,9.5745,0,0.2466,1.4777
34,0.4369,0.5762,0,12.2284,0,0,1.0326,0,0,0,0,0,3.8618,0,0,29.628
35,0,35.3201,4.0089,2.0124,0,0.3122,0,0,0,0.3463,0,0,0,0,0,1.2454
36,0,0,0,0.0933,0,0,26.8159,0,0,0,0,0,0,0.1092,0,0
37,0,0,0,0,0,0,0,0,0,0,1.1587,0.1352,2.3175,0.1597,0.3395,9.9867
38,0,0,0,1.3218,0,0,0,0,0,3.3005,0,0,23.8545,0.2684,0.423,14.5169
39,0,1.6281,0,1.0649,0,0,0.8109,0,0,0,0.5015,0,0.2361,0,0.1168,0.9385
40,0,33.1335,0,9.485,0,1.0739,0.3562,0,0,0.5187,0,0,11.0002,0,0.876,0.4678
41,1.2772,0,0,2.1593,0,0,0,0,0,1.8712,0,0,1.182,0,0.0613,22.2662
42,0,0.208,0,1.9601,0,0,0.6102,0,0,0.1458,0,0.1141,2.5548,0,0,6.5144
43,0,0,0,0,0,0,0,0,0,0.8496,0,1.6906,0.567,2.4054,0,40.8808
44,0,1.3023,2.0139,6.191,0,0,7.6726,0.3686,0,0,0,0.2874,0,0.6276,0,5.676
45,0,45.7178,0,10.1444,0,0.4728,0,0,0,0.9647,0,0,23.4,0,0.2365,3.4065
15mix,2.512,8.564,5.8937,12.0787,8.5529,14.8645,18.2031,18.0968,1.9202,6.3894,6.5027,11.5544,12.592,14.9195,12.4251,0
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0.221,0,0,0,0,0.5803,0.469,0,0.4898,0,0.2102,0
47,0,22.6493,80.4418,0,0,0.2551,0,2.0349,0,0.2773,0,0,0,0.1623,0,7.6632
48,0.1174,4.3337,8.6156,5.8102,0,0,0.7803,1.1893,0,0,0,0,4.2224,0,0.6725,0.3366
49,0,0.1142,0,0.5422,0,0.1115,2.8952,0,0,0,0,0,0,0,0,0.5007
50,0,0,0,0,0,0,0,0,0,0,2.8569,0.7243,0,0.6279,0,6.7412
51,0,0.7165,0,6.3375,0,0,2.0316,0,0,0,0,0,0.2961,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1587
53,0,0.3149,0,0.2777,0,0,0.6127,0,0,0,0,0,0.1749,0,0.1297,0.6708
54,0,1.786,2.3009,0,0,0.1707,0,0,0,0,0,0,0,0.0565,0,0
55,0,20.8063,0.6558,0,0,0.7878,0,0,0,0,0,0,0,0,0,0.9951
56,0,0,0,0,0,0,0,0,0,0.2554,0,0,0,0.0666,0,0
57,0,2.1151,0,5.5651,0,0,0.5093,0,0,0,0,0,3.6713,0,0,0
58,1.716,0,0,0.5135,0,0,0,0,0,2.3958,0,0,60.415,0,12.8087,0
59,0.2646,0.3948,0,0.6273,0,0,0,0,0,0,0,0,1.1398,0,0,3.6977
60,0,0.8603,0.8685,0,0,0,0,0,0,0,0,0,0,0,0,0.745
15mix,2.5268,8.2328,2.8561,12.1199,8.6035,15.1539,19.3938,18.0652,1.9559,6.4304,6.5293,12.0408,15.7839,14.8901,11.3357,0
61,0.3892,23.5467,5.2962,13.6791,0,1.7447,1.4039,0.365,0,0,0,0,0,0,0,0
62,1.8597,0.5586,0,0,0,0,0,0,0,0.2153,0,0,6.8769,0,0.413,4.8139
63,0,0,0,0,0.0943,0,0,0,0,0.3485,0,0,0,1.1825,0,0
64,0.4655,0,0,0,0.5807,0,0,0,0,8.7949,0,0,0.2891,0.1299,0,0
65,0,0.229,0,0.7882,0.5885,0.4061,0,2.9682,0,0,0,0,4.0222,0.4346,21.3277,0
66,0,0,0,0,0.2933,0,0,0,0,5.4607,0,0.1037,1.3351,0,0,3.9795
67,1.6973,0,0,0,0.1128,0,0,0,0,1.9946,0,0,0,0,0,4.202
68,0,112.8006,0,0,0,2.4712,0,0,0,3.8506,0,0,36.3406,0,1.1609,16.8852
69,0,13.3098,1.3956,24.1583,0,1.2904,11.7274,0.2548,0,0,0,0,0,0,0,0
15mix,2.4543,7.8523,2.9959,12.1145,8.6036,15.213,20.4424,18.0911,1.9134,6.3805,6.5123,12.4571,15.6233,14.9083,10.3704,0
70,0,4.3056,0,0,4.2238,0.9614,0,0,0,4.2328,0,0.8536,6.0199,0,4.0121,8.7749
71,0.5769,29.935,2.616,24.7176,0,0.711,2.4044,0.3187,0,0,0,0,10.367,0,0,1.4217
72,1.3189,14.1823,0,3.3235,0,0,0.2382,0.2048,0,0,0,0,18.4611,0,3.5943,0.115
73,0,0,0,0.3733,0,0,0,0,0,1.059,0,0,1.1469,0.2482,0,0
74,0.423,0,0,0,0,0,0,0,0,0.6437,0,0,0,1.0407,0,0
75,0,0,0.3087,0.475,0.1723,0,0,0,0,0.5353,0,0,0.8692,0,0.2903,0
76,0,0,0,0.7895,0.1991,0,0,0,0,1.0485,0.4043,0,0,2.8798,0,0
77,0,0,0,0.2445,0,0,0,0,0,0.5901,0,0,0.0724,0.404,0,3.23
78,0,22.7378,58.1144,3.428,0,0,0,1.0487,0,0,0,0,0,0,0,2.8743
wash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
