injectionName,acetoside,baicalin,oroxyloside,wogonoside,apigenin,baicalein,wogonin,oroxylinA,hispidulinG,apigeninG,scutellarin,scutellarein,chrysinG,hispidulin,chrysin
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mix1_0.1,0.0164,0.0769,0.0594,0.1055,0.0793,0.0562,0.2019,0.1548,NA,NA,NA,NA,NA,NA,NA
mix1_0.5,0.1354,0.3565,0.2832,0.5293,0.404,0.4927,0.8691,0.7823,NA,NA,NA,NA,NA,NA,NA
mix1_1,0.3067,0.7279,0.5901,1.0879,0.8303,1.1882,1.7453,1.632,NA,NA,NA,NA,NA,NA,NA
mix1_5,0.9049,3.3017,2.6675,4.863,3.5865,6.4157,7.5894,7.4,NA,NA,NA,NA,NA,NA,NA
mix1_10,1.9396,6.9315,5.6142,10.2234,7.7916,14.5737,16.0592,15.7313,NA,NA,NA,NA,NA,NA,NA
mix1_25,4.7983,17.5244,14.1489,25.5613,19.6652,37.8761,40.574,39.8597,NA,NA,NA,NA,NA,NA,NA
mix1_50,10.4888,38.5227,31.2108,55.3932,43.3499,82.7603,88.0282,87.0816,NA,NA,NA,NA,NA,NA,NA
mix1_100,18.6457,69.1512,56.0519,97.7201,77.6081,143.6287,155.7571,154.6669,NA,NA,NA,NA,NA,NA,NA
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mix2_0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.0214,0.0572,0.0678,0.026,0.1075,0.1279,0.1668
mix2_0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.0891,0.3039,0.3456,0.4253,0.585,0.712,0.6944
mix2_1,NA,NA,NA,NA,NA,NA,NA,NA,0.0697,0.2669,0.3131,0.3787,0.5347,0.6061,0.657
mix2_5,NA,NA,NA,NA,NA,NA,NA,NA,0.3886,1.4772,1.6893,2.8776,2.9369,3.3471,3.308
mix2_10,NA,NA,NA,NA,NA,NA,NA,NA,1.5674,5.382,6.11,11.7528,10.2866,12.4433,11.2716
mix2_25,NA,NA,NA,NA,NA,NA,NA,NA,3.1646,10.8287,12.3184,23.9104,20.8463,25.0809,22.9684
mix2_50,NA,NA,NA,NA,NA,NA,NA,NA,8.6622,29.5666,33.6522,66.1138,55.857,68.3097,61.5963
mix2_100,NA,NA,NA,NA,NA,NA,NA,NA,17.4034,59.6354,67.2799,133.2214,110.7973,134.5994,122.2606
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_L-1,NA,94.7526,NA,NA,NA,3.1337,NA,NA,NA,NA,NA,NA,2.6296,NA,NA
SUF_L-2,NA,45.9298,NA,NA,NA,4.134,NA,NA,NA,NA,NA,NA,2.3078,NA,NA
SUF_L-3,NA,84.2202,NA,NA,NA,3.3158,NA,NA,NA,NA,NA,NA,2.4751,NA,NA
SUF_S-1,NA,57.5539,2.4646,NA,NA,3.8855,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_S-2,NA,56.4703,3.4095,NA,NA,3.3792,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_S-3,NA,60.0755,3.5138,NA,NA,3.2978,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_R-1,NA,61.3308,NA,NA,NA,9.6915,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_R-2,NA,88.7421,NA,NA,NA,13.6304,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUF_R-3,NA,108.6361,NA,NA,NA,16.1269,NA,NA,NA,NA,NA,NA,NA,NA,NA
15mix,10.7115,30.6732,50.2599,52.5321,37.0151,58.9164,91.4837,77.9987,8.7754,28.4329,28.7284,58.5194,30.5322,65.3757,42.6812
wash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
