"","species","Acteoside","Apigenin","Apigenin 7-G","Baicalein","Baicalin","Chrysin","Chrysin 7-G","Hispidulin","Hispiduloside","Oroxylin A","Oroxyloside","Scutellarein","Scutellarin","Wogonin","Wogonoside"
"1","S. longifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0.131296657339977,0.0837165543794776
"2","S. seleriana",0,0,0,0.0256533440716854,0.32185587525619,0,0,0.00789233967104293,0,0,0.498183168962522,0,0,0,0
"3","S. guatemalensis",0,0,0,0,0.129120792061064,0,0.0358371439504638,0,0,0,0,0,0,0.262796145877528,0.760822069791088
"4","S. costaricana",5.41980065374312,0,0,0,0,0,0,0,0,0,0.138715710332102,0,0,0.086572829020496,0.656487251788319
"5","S. lutea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","S. havanensis",0,0,0,0,0.293400644179509,0.0215765756403724,0.028575311336388,0,0,0,0,0,0.102233304551004,0.104893381911837,0.127842117888841
"7","S. splendens",7.02874213046708,0.0600579638216082,0.486368706171436,0,0,0,0,0,0,0,0,0,0.195127663974206,0,0
"8","S. discolor",0.81565099305434,0,0.519514470397838,0,0,2.36616339387703,7.31206028965641,0,0,0,0,0,0,0,0.0616460959112778
"9","S. insignis",0,0,0,0,0,0,0,0,0,0,0,0,0.0965470010813149,0,0
"10","S. indica var. coccinea",0.412700128081972,0.697481867969213,1.64605734767025,0,0,0,0,0,0,0,0,0.483920835662381,2.57313473183391,0,0
"11","S. javanica",0,0.026248057274606,0.0755700780255641,0,0,0,0,0.165180383380677,0,0,0,0,0,0,0
"12","S. barbata",0,0.128922439313203,0.00890830353942652,0,0,0,0,0,0,0,0,0.297337898267188,1.54528546712803,0,0
"13","S. siphocampyloides",0.0943048358298063,0,0.0710443040755812,0.241565338208089,13.0557020932507,0.0550099547352382,0.59268557585304,0,0,0.120371218169739,5.89572176321842,0,0,0.0593680844430725,1.04050216248514
"14","S. antirrhinoides",0,0,0.16399899572664,0,1.17073723046016,0.045554653706471,1.15880693939113,0,0,0,0,0,0,0,0
"15","S. angustifolia",0,0,0,0.0503749322368421,2.79663201082769,0,0.0779073608946757,0,0,0,0.162755568737941,0,0,0,0.949553963427152
"16","S. angustifolia ssp. micranthum",0,0,0.433600941233625,0.0304624068150594,2.49308551794888,0.581847091562335,10.8278402405981,0.00995971360257277,0,0,0,0,0,0,0
"17","S. parvula",0,0,0.302372951565565,0,0,0,2.25345267752397,0,0,0,0,0,0.23418162031806,0.440909803605164,8.33975092391882
"18","S. ovata",0,0,4.84767961092265,0,0,0,0.125466661800996,0,0,0,0.343748534789572,0,1.63736696444255,0,0
"19","S. sapphirina",0.826438718860993,0,0.0522973129636023,0.104059824988241,7.40978638902661,0.129108021422914,4.08801016980639,0,0,0.0459365438918422,0.991469478986027,0,0,0.138360181472363,3.82211258047547
"20","S. racemosa",0,0,0.0300653983306872,0.0191686235286671,4.08961500443455,0,0,0.0113356347664626,0,0.195050465338185,14.9998624006704,0,0,0,0.205767104950205
"21","S. strigillosa",0.166725370957413,0,0,1.24266084480462,20.6073402022849,0,0.387933705157993,0,0,0,0,0,0,0.0859424470555126,0.238213147914857
"22","S. scordiifolia",0,0,0,0,0.381163136480609,0,0.444339434600936,0,0,0,0,0,0,0.0658801324549247,0.668094816661835
"23","S. galericulata",0,0,0,0,3.25083551637367,0,0.479864695818967,0,0,0,0.147678656542496,0,0,0.148989388387847,0.712139282240013
"24","S. dependens",0,2.20095717399349,6.36015531586022,0,0.197207287858423,0,0,0,0,0,0,0,0,3.16245690564976,9.23879235447437
"25","S. lateriflora",0.711256865120468,0.0996475748641385,0.581738939680492,0.0960053600498894,8.59895402780764,0,0,0,0,0.0382366411446341,0.849698884520714,0,0,0.0878944779591865,0.306873246200709
"26","S. resinosa",0,0.0239670565904922,0.643640411375039,0,0.410570208801826,0.084721139741849,0.578638504755191,0.294549381839783,0,0.0148769298559861,0.558366933384816,0.554355404041149,1.71517642986563,0,0
"27","S. drummondii",0,0,0,0,0,0.0627161595026235,0.280488284718676,0.0223080822206293,0,0,0,0.022758905638778,0.236206839448153,0,0
"28","S. potosina",0,0,0.428229285177939,0,0,0,0.326346614057969,0.119252098817242,0,0,0,0.189317622441433,0.467084180930536,0.0578534940534783,0.400368657359556
"29","S. wrightii",0,0.0686068765346437,0.109167848079597,4.91830290671807,15.4048741593869,0.695054723544743,0.333238982510425,0.290362826243624,0,0.369118790977963,4.51403852981461,0,0,0.00550763080784616,0.101892443360842
"30","S. hispidula",0,0,0,0,0,0,0,0.0877097359194312,0,0,0,0.121925113566323,0.582393475118175,0,0
"31","S. suffrutescens",0,0,0,0.118393113413437,3.74951282046073,0,0,0,0,0,0.141991621628763,0,0,0,0
"32","S. multiglandulosa",0,0,0.156095037781068,0,0,0,0.0386934647786668,0.196218929839187,0,0,0,0.142293660772626,0,0,0.0146762127072126
"33","S. arenicola",0.100530410857222,0,0.184610002660155,0,0,0,0.0694049652090287,0.0900215628496215,0,0,0,0,0,0,0.0224074854953067
"34","S. glabriuscula",0,0,0.715693091889167,0,0,0.0781411943140198,2.88712310154115,0.0374921056231489,0,0,0,0,0,0,0.158683173467434
"35","S. elliptica",0,0.0479590696544497,0.116076507222624,0,0,0.0536273964760282,0.105199748469244,0,0,0,0.0668386910594681,0,0,0,0.0570241393531781
"36","S. integrifolia",0,0.0554187508311142,0.227360765594845,0,0,0,0,0.40227185459592,0,0,0,0,0.0824185942771109,0,0.0947801221459666
"37","S. serrata",0,0,0,0,0,0.109272980238466,0.355175578707695,0,0,0,0,0,0,1.07557141220784,3.00524144555176
"38","S. incana",0.607080098093825,0,0.405758192256631,0,0,0.011324007592079,0.143058102497292,0,0,0,0,0,0,0,0.259225734958564
"39","S. pinnatifida",0.221261968104193,0.161635703704811,1.9071198830044,0,0,0,0.0349899301454882,0.0181453968720084,0,0,0,0,0,0,0
"40","S. orientalis",0,0,0,0.647722033700501,8.03419719438898,0.100655630024724,0.527559799753396,0,0,0.0555136668271401,0.380411183908663,0.247518529296992,0,0.835156717309268,2.00503135311365
"41","S. multicaulis",0.12576996081712,0,0,0,0.0711470882145262,0,0.137950613558725,0,0,0,0,0,0,0,0.0753078791921025
"42","S. heydei",0.88395463390627,0,0.0466864786195235,0,0.100665560984383,0.0762938847557686,0.832314945062289,0,0,0,0,0,0,0,0
"43","S. leptosiphon",0.626900987610356,0,0,0,2.55579875680061,0.663978474522176,2.23435696786189,0,0,0.0259088956422754,0,0,0,0.0308121883973356,0.398988899242711
"44","S. prostrata",0,0.163806804942796,0,0.0610300118776299,0.0412681945317287,3.93988640655109,0.486809052338922,0.0607081561245177,0,0.375501875221688,0,0,0,0,0.0946240560803684
"45","S. alpina",0.497758023714007,1.11689103062141,4.16300137158159,0,0,0.411405854586418,0.69075019567666,0.0128993703289678,0,0,0,0.774643719237369,0.0270307951113576,0.0177023781204156,0
"46","S. przewalskii",0,0,0.0553819165788495,0,0,0,0,0.00930318269188423,0,0,0,0,0,0,0
"47","S. baicalensis",0.00471259558117195,0.15820925473653,0.174248022849462,0.122313967954411,0.536064853270609,2.5118940280837,0.766928617100372,0.0140090731366149,0,0,0,0.659365712339296,0,0.0562827351720256,0.0117992189400521
"48","S. tournefortii",0,0,0.139641734094982,0.403537848949082,0.0387220282258065,0.248899020610447,2.42229863406134,0,0,0,0.031465569287576,0,0.368391017517301,0.0637379993667769,1.24576127085143
"49","S. altissima",0,0.0821353461610154,0,0,0,0,0.299858827924554,0,0,0.0699875271550085,0,0,0,0,0
"50","S. oblonga",0,0,0,0,0.155035055701512,0,0,0,0,0,0.188044713913664,0,0,0,0
"51","S. purpurascens",0,0,0,0,0.0567482727425388,0.0239596049705162,0.0211682420700307,0,0,0,0,0,0,0.0792553645300063,0.0333381126281633
"52","S. angulosa",0,0,0.834978887934684,0.371379870357053,20.3278476161385,0.214454166617366,4.39832257158467,0,0,0,0,0,0,0,0
"53","S. astinae",0,0,0.0963744462459888,0.13092128191164,7.36852809704339,0.21346960810383,7.27512679495701,0,0,0,0.829253520951931,0,0,0.0745139883390141,1.62702686170561
"54","S. blepharophylla",0,0,0,0.0167565779964436,0.0205800341289232,0,0,0,0,0,0,0,0,0.374506498102294,0.0650915544364068
"55","S. brittonii",0.20766778488662,0,0,0,0.103837265018263,0,0.467395753150627,0,0,0,0,0,0,0.133571224765276,1.46802944350822
"56","S. californica",0,0,0.0750930215789178,0.0469184183900422,6.36505134358127,0,0,0,0,0,0.867993613826699,0,0,0,0.241590269545971
"57","S. coccinea",0,0,0,0,0,0,0,0.0152538671164228,0,0,0,0,0,3.46875131336739,0.0112007414771611
"58","S. coerulea",3.76965631089388,0.18047324580163,1.81963347932318,0,0,0,0.0276498309444308,0.0109799440240174,2.2849030389276,0,0,0,0,1.33752802009981,2.42717585495995
"59","S. epilobiifolia",0,0,0,0,2.67368310609231,0.0839327144413941,1.08055641864201,0,0,0,0.577827676045186,0,0.0180915889467709,0,0
"60","S. formosa",0,0,0,0.794377497564606,2.6830694859575,0.158072356729771,0.10800181184722,0.1193759327724,0,0.750735317461679,0.551300830395039,0,0,0,0.0911898270401338
"61","S. fruticosa",1.38131086411567,2.57684213122195,2.69287888946062,0,0,5.84378066292503,6.1791220158862,0.460105060389889,0,0,0,0,0,0,0
"62","S. holmgreniorum",1.41400591346713,0,0.159196888246009,0.274891171587113,14.0063820647795,0.0988955132496671,1.95401206411561,0,0,0,0.428039807066533,0,0,0.0774472231985072,2.76315303974894
"63","S. hookeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","S. isocheila",0,0,0,0,0,0,0,0.00414843749779604,0,0,0,0,0,0,0
"65","S. javalambrensis",0.274212737699912,0,0,0.10685136282934,5.39460001444236,0,1.25472364516872,0,0,0.040318188677701,0.566407566606961,0,0,0.311019419742039,2.96736814079183
"66","S. leonardii",0,0,0.0316158317822876,0,0.0374837749458497,0,0.309208832707344,0,0,0,0,0.0192070350102409,0,0.0789319788415373,0.235311611676136
"67","S. lutilaba",0,0.135289450590046,0.486053952925532,0,0,0,0,0.100904034461318,0,0,0.111073926300371,1.41365391847647,4.09056084443058,0,0.0789861317910837
"68","S. microphylla",0.214234606872984,0.259858273993245,0.0809515371966696,0.653070581558745,4.94277967587392,0.411986799544648,1.52785822641116,0.213716767610339,0,0.282799077330139,3.34296174068822,0,0.411331389541547,0.248749765577612,0.67792918409235
"69","S. muriculata",0,0,0,0,0.234688077461443,0,0,0.0876678296910894,0,0.0466309518249156,0.436042889292722,0.0483795079924909,0,0.9924836133392,0.743234624706371
"70","S. paucifolia",0,0,0,0.193925455126555,2.39856513353015,0,0,0,0,0.0322343096174403,0.302170642185274,0,0,1.516989329181,2.90022371733871
"71","S. pekinensis var. alpina",0.245869356388088,0,0,0,0.063276583109319,5.33512953783826,12.1280204460967,0,0,0,0,0,0,0,0
"72","S. peregrina",0,0.0816389734744638,1.18411915372797,0,0,0,0.161587878717542,0,0,0,0,0.0174563499611041,0,0,0
"73","S. pseudoserrata",0,0.0615145350762241,0.125834479994935,0,0,0.0388304469144372,0.0592807602395716,0,0,0,0,0,0.0956080156219762,0,0
"74","S. relenorskyi",0.806762488642851,0.0313974640570049,0.4325167220367,0,0,0,0,0,0,0,0,0,0,0,0
"75","S. sumatrana",0,1.1756791549998,0.917856603347511,0.144482278796241,0.775914141379088,0.741159067865906,0.728591769224575,0,0,0,0,0.143690842109918,0,0,0
"76","S. tessellata",0,0,0.640732690912873,0,0,0,0.271798863517412,0.10809672335675,0,0,0,0.134963056843306,1.38270617706063,0,0.0897508245384544
